Fragments on the Palici and Thebes
Ἀποσπάσματα περὶ Παλικῶν καὶ Θηβῶν
by Aeschylus the Tragedian
eul_wid: emo-ah    eul_aid: emo

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The Fragments on the Palici and Thebes is a modern scholarly designation for a collection of 1240 fragmentary passages attributed to the lost plays of Aeschylus. These fragments, drawn from approximately eighty lost tragedies in addition to his seven surviving works, are compiled in modern critical editions such as Stefan Radt’s Tragicorum Graecorum Fragmenta. The title references two distinct mythological cycles treated by Aeschylus: the Sicilian chthonic deities known as the Palici, and the stories of the Theban cycle. The fragments are preserved indirectly through quotations by later Greek authors such as Strabo and Athenaeus, through papyrus discoveries, and via ancient plot summaries.

Collectively, these fragments illustrate the vast thematic and geographical scope of Aeschylean drama. Inferred subjects from play titles and the fragmentary content include divine justice and retribution, the nature of chthonic powers and associated cult practices, foundational city myths and civic strife as seen in Theban narratives, and profound familial conflicts. The material is particularly significant for demonstrating the interplay between Athenian tragedy and the wider Greek world, especially in its engagement with Sicilian religious cult. These remnants are crucial for understanding the breadth of classical Athenian tragedy, the development and treatment of major mythological cycles, and the extensive influence of Aeschylus on subsequent literature.

Text
----

book 1*.1	τὸν μὲν
book 1*.2	τρίπους ἐδέξατ’ οἰκεῖος (?) λέβης αἰεὶ φυλάσσων τὴν ὑπὲρ
book 1*.3	πυρὸς
book 1*.4	στάσιν
book 2.1	χαλκέοισιν ἐξαυστῆρες
book 2.2	χειρούμενοι(?)
book 2a	τρίπουν λέβητα
book 3	ἀήτους (= μεγάλας)
book 4	ἀπαρτί
book 4a	κ.´̣ρανος (?)
book 5	[ln_1]Ζαγρεύς (= Πλούτων)
book 6	[spk_a]A. τί δῆτ’ ἐπ’ αὐτοῖς ὄνομα θήσονται βροτοί;
book 6.1	[spk_b]B. σεμνοὺς
book 6.2	Παλικοὺς Ζεὺς ἐφίεται καλεῖν. A. ἦ καὶ Παλικῶν εὐλόγως μένει φάτις; B. πάλιν γὰρ ἵκους’ ἐκ
book 6.3	σκότου τόδ’ εἰς φάος.
book 8	πολυηλάκατοι (sc. fluvii)
book 9	αἱμοί
book 10	κρείσσονες (i.e. οἱ θεοί)
book 12	[ln_1]ἀποστάς (= φυγών)
book 13	σοὶ μὲν γαμεῖσθαι μόρσιμον, γαμεῖν δ’ ἐμοί
book 14.1	κἄγωγε τὰς σὰς βακκάρεις
book 14.2	τε καὶ μύρα
book 15	θρῴσκων κνώδαλα
book 16	καὶ παλτὰ κἀγκυλητὰ καὶ χλῆδον βελῶν
book 17	Καπανεύς †μοι καταλείπεται λοιποῖς† ἃ κεραυνὸς ἄρθρων ἐνηλυσίων ἀπέλειπεν
book 18	ἀπόσκημμα
book 20*	†(ποῦ) ἔνεστιν† Ἀργοῦς ἱερὸν αὐδῆεν ξύλον
book 21	Ἶφυς (= Τῖφυς)
book 22.1	[ln_1]τό τοι κακὸν
book 22.2	ποδῶκες ἔρχεται βροτοῖς καὶ τἀμπλάκημα τῷ περῶντι τὴν θέμιν
book 23.1	ὁ ταῦρος δ’ ἔοικεν κυρίξειν· τίν’ ἀρχὰν (?) *** φθάσαντος δ’ ἐπ’ ἔργοις
book 23.2	προπηδήσεταί νιν (?)
book 23a.1	Παγγαίου γὰρ ἀργυρήλατον
book 23a.2	πρῶν’ †ες τὸ τῆς ἀστραπῆς† πευκᾶεν σέλας
book 24.1	σκάρφει
book 24.2	παλαιῷ κἀπιβωμίῳ ψόλῳ
book 25	εἰλλόμενον
book 25a	καλοῖσι λουτροῖς †ἐκλέλουμαι† δέμας εἰς ὑψίκρημνον Ἱμέραν δ’ ἀφικόμην (?)
book 25b	Πᾶνες duo, alter Iovis, alter Saturni filius
book 25c**	Εὔριπος
book 25d**.1	.[ | ].σα̣λ̣...[ φοιτ̣[ | ]δ̣ειπ̣.[ ⸏ἐνισπ̣[ | ]ω̣ν
book 25d**.2	τισ̣σ̣[ στη̣σον[ | ].[.]μαπρο̣[
book 25d**	[ln_5][spk_chorus]οὐγα[ | ].πεσουδ[ ⸏ἀνδρ[ | ]ρ̣αιω̣ν..[ ΧΟ. [ | ]πον̣ν̣..[ [ | ]ησ̣[ [ | ].ε̣[[ln_10][ ]ουθ’ ἱππ̣[ [].τη.[[ln_12]...
