Prometheus Bound
Προμηθεὺς Δεσμώτης
by Aeschylus the Tragedian
eul_wid: emo-ac    eul_aid: emo

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

Prometheus Bound is an ancient Greek tragedy traditionally ascribed to Aeschylus. The play dramatizes the punishment of the Titan Prometheus, who is bound to a remote Scythian cliff by order of Zeus for the crime of stealing fire from the gods and bestowing it upon humanity. Its dramatic structure is singular, as the immobilized protagonist remains fixed upon the rock throughout the action, which unfolds entirely through a series of dialogues with visitors. These include a chorus of Oceanids, the sea nymph daughters of Oceanus; the Titan Oceanus himself; the maiden Io, who has been transformed into a cow and driven mad by the wrath of Hera; and finally the messenger god Hermes, who delivers Zeus's final ultimatum. The play concludes with Prometheus, defiant and in possession of a secret prophecy that threatens Zeus's reign, being cast into the abyss as the cliff collapses around him.

Scholarly consensus on the play's date and authorship remains unsettled. While transmitted as part of the Aeschylean corpus, significant stylistic and metrical divergences from his authenticated works have led many modern scholars to propose a later composition, possibly in the 430s BCE, by an unknown playwright. It is generally believed to have been the first play in a connected trilogy, followed by the lost works Prometheus Unbound and Prometheus the Fire-Bearer; the absence of these companion pieces limits a complete understanding of the trilogy's overarching theological and philosophical resolution. Thematically, the work explores profound conflicts between intelligence and tyrannical power, the civilizing gifts bestowed upon humanity, and the nature of righteous suffering in defiance of unjust authority. Its enduring portrayal of Prometheus as the defiant benefactor of mankind has established the figure as a potent and recurring symbol in Western literature, art, and political thought.

Text
----

1	ΚΡΑΤΟΣ
1.1	Χθονὸς μὲν ἐς τηλουρὸν ἥκομεν πέδον,
1.2	Σκύθην ἐς οἷμον, ἄβροτον εἰς ἐρημίαν.
1.3	Ἥφαιστε, σοὶ δὲ χρὴ μέλειν ἐπιστολὰς
1.4	ἅς σοι πατὴρ ἐφεῖτο, τόνδε πρὸς πέτραις
5.1	ὑψηλοκρήμνοις τὸν λεωργὸν ὀχμάσαι
5.2	ἀδαμαντίνων δεσμῶν ἐν ἀρρήκτοις πέδαις.
5.3	τὸ σὸν γὰρ ἄνθος, παντέχνου πυρὸς σέλας,
5.4	θνητοῖσι κλέψας ὤπασεν· τοιᾶσδέ τοι
5.5	ἁμαρτίας σφε δεῖ θεοῖς δοῦναι δίκην,
10.1	ὡς ἂν διδαχθῇ τὴν Διὸς τυραννίδα
10.2	στέργειν, φιλανθρώπου δὲ παύεσθαι τρόπου.
11	ΗΦΑΙΣΤΟΣ
12.1	Κράτος Βία τε, σφῷν μὲν ἐντολὴ Διὸς
12.2	ἔχει τέλος δὴ κοὐδὲν ἐμποδὼν ἔτι·
12.3	ἐγὼ δ’ ἄτολμός εἰμι συγγενῆ θεὸν
15.1	δῆσαι βίᾳ φάραγγι πρὸς δυσχειμέρῳ.
15.2	πάντως δ’ ἀνάγκη τῶνδέ μοι τόλμαν σχεθεῖν·
15.3	εὐωριάζειν γὰρ πατρὸς λόγους βαρύ.
15.4	τῆς ὀρθοβούλου Θέμιδος αἰπυμῆτα παῖ,
15.5	ἄκοντά ς’ ἄκων δυσλύτοις χαλκεύμασι
20.1	προσπασσαλεύσω τῷδ’ ἀπανθρώπῳ πάγῳ, ἵν’ οὔτε φωνὴν οὔτε του μορφὴν βροτῶν
20.2	ὄψῃ, σταθευτὸς δ’ ἡλίου φοίβῃ φλογὶ
20.3	χροιᾶς ἀμείψεις ἄνθος· ἀσμένῳ δέ σοι
20.4	ἡ ποικιλείμων νὺξ ἀποκρύψει φάος,
25.1	πάχνην θ’ ἑῴαν ἥλιος σκεδᾷ πάλιν·
25.2	αἰεὶ δὲ τοῦ παρόντος ἀχθηδὼν κακοῦ
25.3	τρύσει ς’· ὁ λωφήσων γὰρ οὐ πέφυκέ πω.
25.4	τοιαῦτ’ ἐπηύρου τοῦ φιλανθρώπου τρόπου.
25.5	θεὸς θεῶν γὰρ οὐχ ὑποπτήσσων χόλον
30.1	βροτοῖσι τιμὰς ὤπασας πέρα δίκης·
30.2	ἀνθ’ ὧν ἀτερπῆ τήνδε φρουρήσεις πέτραν
30.3	ὀρθοστάδην, ἄυπνος, οὐ κάμπτων γόνυ·
30.4	πολλοὺς δ’ ὀδυρμοὺς καὶ γόους ἀνωφελεῖς
30.5	φθέγξῃ· Διὸς γὰρ δυσπαραίτητοι φρένες·
35.1	ἅπας δὲ τραχὺς ὅστις ἂν νέον κρατῇ.
35.2	Κρ.εἶἑν, τί μέλλεις καὶ κατοικτίζῃ μάτην;
35.3	τί τὸν θεοῖς ἔχθιστον οὐ στυγεῖς θεόν,
35.4	ὅστις τὸ σὸν θνητοῖσι προὔδωκεν γέρας;
35.5	Ηφ.τὸ συγγενές τοι δεινὸν ἥ θ’ ὁμιλία.
40.1	Κρ.σύμφημ’· ἀνηκουστεῖν δὲ τῶν πατρὸς λόγων
40.2	οἷόν τε πῶς; οὐ τοῦτο δειμαίνεις πλέον;
40.3	Ηφ.αἰεί γε δὴ νηλὴς σὺ καὶ θράσους πλέως.
40.4	Κρ.ἄκος γὰρ οὐδὲν τόνδε θρηνεῖσθαι· σὺ δὲ
40.5	τὰ μηδὲν ὠφελοῦντα μὴ πόνει μάτην.
45.1	Ηφ.ὦ πολλὰ μισηθεῖσα χειρωναξία.
45.2	Κρ.τί νιν στυγεῖς; πόνων γὰρ ὡς ἁπλῷ λόγῳ
45.3	τῶν νῦν παρόντων οὐδὲν αἰτία τέχνη.
45.4	Ηφ.ἔμπας τις αὐτὴν ἄλλος ὤφελεν λαχεῖν.
45.5	Κρ.ἅπαντ’ ἐπαχθῆ πλὴν θεοῖσι κοιρανεῖν.
unit_14.1	ἐλεύθερος γὰρ οὔτις ἐστὶ πλὴν Διός.
unit_14.2	Ηφ.ἔγνωκα τοῖσδε, κοὐδὲν ἀντειπεῖν ἔχω.
unit_14.3	Κρ.οὔκουν ἐπείξῃ τῷδε δεσμὰ περιβαλεῖν,
unit_14.4	ὡς μή ς’ ἐλινύοντα προσδερχθῇ πατήρ;
unit_14.5	Ηφ.καὶ δὴ πρόχειρα ψάλια δέρκεσθαι πάρα.
55.1	Κρ.βαλών νιν ἀμφὶ χερσὶν ἐγκρατεῖ σθένει
55.2	ῥαιστῆρι θεῖνε, πασσάλευε πρὸς πέτραις.
55.3	Ηφ.περαίνεται δὴ κοὐ ματᾷ τοὔργον τόδε.
55.4	Κρ.ἄρασσε μᾶλλον, σφίγγε, μηδαμῇ χάλα·
55.5	δεινὸς γὰρ εὑρεῖν κἀξ ἀμηχάνων πόρον.
60.1	Ηφ.ἄραρεν ἥδε γ’ ὠλένη δυσεκλύτως.
60.2	Κρ.καὶ τήνδε νῦν πόρπασον ἀσφαλῶς, ἵνα
60.3	μάθῃ σοφιστὴς ὢν Διὸς νωθέστερος.
60.4	Ηφ.πλὴν τοῦδ’ ἂν οὐδεὶς ἐνδίκως μέμψαιτό μοι.
60.5	Κρ.ἀδαμαντίνου νῦν σφηνὸς αὐθάδη γνάθον
65.1	στέρνων διαμπὰξ πασσάλευ’ ἐρρωμένως.
65.2	Ηφ.αἰαῖ, Προμηθεῦ, σῶν ὕπερ στένω πόνων.
