On Art, Chance, and Human Frailty
Ἀποσπάσματα
by Agathon of Athens
eul_wid: eaq-aa    eul_aid: eaq

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The surviving fragments of the Athenian tragedian Agathon, often collectively referred to by the modern title On Art, Chance, and Human Frailty, represent the scant remains of a significant literary figure. A contemporary of Euripides famously depicted in Plato's Symposium, Agathon was an innovative dramatist of the late 5th century BCE. His complete plays are lost, and his work is known only through quotations preserved by later authors such as Aristotle, Athenaeus, and Stobaeus, collected in modern scholarly editions. The fragments reveal a playwright deeply engaged with philosophical themes, particularly the interplay between artistic skill and fortune, encapsulated in his celebrated dictum that art loves chance and chance loves art. His work also explored human psychology and emotion, reflecting a broader interest in character. Agathon's historical importance rests on his formal and conceptual innovations. He is credited with being the first tragedian to compose a play with a wholly fictional plot and characters, a decisive step away from the traditional mythological repertoire. He also pioneered new musical structures, writing choral odes that were independent of the dramatic narrative, and cultivated a refined, antithetical rhetorical style. His influence was considerable; Aristotle frequently cites him in the Poetics as an exemplar of inventive plot construction and stylistic excellence. Thus, despite the loss of his texts, Agathon stands as a pivotal figure in the evolution of tragedy toward greater artistic autonomy and formal experimentation.

Text
----

book 1	[ln_1]εἰσῇσαν
book 2	[ln_1]ἀθέμιστοι μοῦσαι
book 3.1	[ln_1]κόμας ἐκειράμεσθα μάρτυρας
book 3.2	τρυφῆς, ἦ που
book 3.3	ποθεινὸν
book 3.4	χρῆμα
book 3.5	παιζούσῃ φρενί. ἐπώνυμον γοῦν εὐθὺς ἔσχομεν κλέος, Κούρητες εἶναι, κουρίμου χάριν
book 3.6	τριχός
book 4.1	[ln_1]γραφῆς ὁ πρῶτος ἦν μεσόμφαλος κύκλος· ὀρθοί τε κανόνες ἐζυγωμένοι δύο, Σκυθικῷ τε τόξῳ 〈τὸ〉 τρίτον ἦν
book 4.2	προσεμφερές· ἔπειτα
book 4.3	τριόδους
book 4.4	πλάγιος ἦν
book 4.5	προσκείμενος·[ln_5]ἐφ’ ἑνός
book 4.6	τε κανόνος ἦσαν {ἐζυγωμένοι} 〈––〉 δύο· ὅπερ δὲ τὸ τρίτον, ἦν {καὶ} τελευταῖον πάλιν
book 5.1	μόνου γὰρ αὐτοῦ καὶ θεὸς
book 5.2	στερίσκεται, ἀγένητα
book 5.3	ποιεῖν ἅσς’ ἂν ᾖ πεπραγμένα
book 6	τέχνη τύχην ἔστερξε καὶ τύχη τέχνην
book 7.1	φαῦλοι βροτῶν γὰρ
book 7.2	τοῦ πονεῖν ἡσσώμενοι θανεῖν ἐρῶσιν
book 8.1	καὶ μὴν τὰ μέν γε
book 8.2	χρὴ τέχνῃ πράσσειν, τὰ δέ ἡμῖν ἀνάγκῃ καὶ τύχῃ προσγίγνεται
book 9.1	τάχ’ ἄν
book 9.2	τις εἰκὸς αὐτὸ τοῦτ’ εἶναι λέγοι, βροτοῖσι
book 9.3	πολλὰ τυγχάνειν οὐκ εἰκότα
book 11.1	τὸ μὲν πάρεργον ἔργον ὣς
book 11.2	ποιούμεθα, τὸ δ’ ἔργον ὡς πάρεργον ἐκπονούμεθα
book 12.1	εἰ μὲν
book 12.2	φράσω τἀληθές, οὐχί ς’ εὐφρανῶ· εἰ δ’ εὐφρανῶ τί ς’, οὐχὶ τἀληθὲς
book 12.3	φράσω
book 13.1	ἀπολεῖς μ’ ἐρωτῶν καὶ σὺ χὠ νέος
book 13.2	τρόπος ἐν οὐ πρέποντι
book 13.3	τοῖς λόγοισι
book 13.4	χρώμενος
book 14.1	– γυνή το〈ι〉 σώμα〈τοσ〉 δι’ ἀργίαν
book 14.2	ψυχῆς
book 14.3	φρόνησιν ἐντὸς οὐκ ἀργὸν
book 14.4	φορεῖ
book 15.1	ἐκφέρετε
book 15.2	πεύκας
book 15.3	φωσφόρους
book 16a	ἀλλ’ οὐκ ἄμαρτυς ἡ χάρις δοθήσεται
book 18.1	οὐ πώποτ’ ἠξίωσα χρήσασθαι
book 18.2	τρόποις
book 19?.1	σοφὸν λέγουσι τὸν
book 19?.2	χρόνον
book 19?.3	πεφυκέναι
book 20	οὐ τῇ φρονήσει, τῇ τύχῃ δ’ ἐσφάλμεθα
book 21.1	ἰδίας ὁδοὺς ζητοῦσι
book 21.2	φιλόπονοι φύσεις
book 22	ἀδικεῖν νομίζων ὄψιν αἰδοῦμαι φίλων
book 23	ὄλοιθ’ ὁ τοῖς ἔχουσι τἀγαθὰ φθονῶν
book 24.1	οὐκ ἦν ἂν ἀνθρώποισιν ἐν βίῳ φθόνος, εἰ πάντες ἦμεν ἐξ ἴσου
book 24.2	πεφυκότες
book 25.1	σοφίας
book 25.2	φθονῆσαι μᾶλλον ἢ πλούτου καλόν
book 26.1	νέων γὰρ ἀνδρῶν
book 26.2	πολλὰ κάμπτονται
book 26.3	φρένες
book 27.1	γνώμη δὲ κρεῖσσόν ἐστιν ἢ ῥώμη
book 27.2	χερῶν
book 28.1	ὡς ἡδὺ τῷ φύσαντι
book 28.2	πείθεσθαι τέκνα
book 29.1	ἐκ
book 29.2	τοῦ γὰρ ἐσορᾶν γίγνετ’ ἀνθρώποις ἐρᾶν
book 30?	ἀντεύφρασμα
book 31?.1	ὕβριν ἢ 〈Κύ〉πριν μισθῷ ποθὲν ἢ μόχθον
book 31?.2	πατρίδων
book 32?.1	Ὦ λαμπρὸν ὄμμα
book 32?.2	τοῦ τροχηλάτου 〈–〉
book 34?.1	τὰς
book 34?.2	συμφορὰς γὰρ οὐχὶ τοῖς
book 34?.3	τεχνάσμασιν φέρειν δίκαιον, ἀλλὰ τοῖς
book 34?.4	παθήμασιν

—
Canonical:  https://eulogikon.org/works/agathon-athens-art-chance-frailty-eaq-aa
License:    https://creativecommons.org/publicdomain/mark/1.0/
Cite as:    eul_wid: eaq-aa

Eulogikon publishes public-domain Greek texts in cleaned, structured, readable form and makes no copyright claim over that preparation (Public Domain Mark 1.0, https://creativecommons.org/publicdomain/mark/1.0/).
