Anonymous Iambic Fragments
Ἀνώνυμα Ἰαμβικὰ Ἀποσπάσματα
by Iambic Work Anonymous
eul_wid: lmm-aa    eul_aid: lmm

Period   Hellenistic
Dialect  Koine (frg)
Domain   Poetry
Format   Verse

The Anonymous Iambic Fragments constitute a collection of sixty-six short passages of iambic poetry preserved within the medieval manuscript tradition. Transmitted without attribution, these pieces are distinct from the works of canonical iambic poets such as Archilochus or Hipponax. The collection features gnomic statements, concise narratives, and moralizing sentiments, all composed in iambic meters. Their themes align with the broader iambic tradition, encompassing pithy wisdom, ethical commentary on virtue and fortune, observations on social types and daily life, and a generally critical, observational tone, though one less aggressively invective than that found in early iambography. The fragments survive exclusively through their inclusion in later medieval codices, often within anthologies, grammatical treatises, or collections of maxims. Their fragmentary nature is a direct result of this process of scholarly excerpting and compilation over centuries. These pieces are significant for demonstrating the longevity and evolution of the iambic genre beyond the Archaic period, illustrating its enduring adaptability for concise, quotable poetry. They form a valuable component of the fragmentary Greek poetic corpus, offering insights for linguistic, metrical, and cultural historical study.

Text
----

book 1.1	περὶ σφυρὸν
book 1.2	παχεῖα μισήτη γυνή
book 2.1	Πριηπίδος
book 2.2	τε τῆς
book 2.3	πρὸ Βοσπόρου πόλεος
book 3	φοινικελίκτην καὶ λόγων ἀλαζόνα
book 4.1	ἄψυχον ἄνδρα λαμβάνειν
book 4.2	συνέμπορον
book 5	ἀνθεῦσαν ἀγαθοῖς πᾶσιν, οἷς θάλληι πόλις.
book 6	〈τοῖον〉 γὰρ οὐδὲ τοῖσιν εὐόργοις’ ἔπος.
book 7.1	ἥ 〈τ’〉 ἄγνος ἀνθεῖ χὠ βότρυς
book 7.2	πεπαίνεται.
book 8.1	Ξάνθηι
book 8.2	παλαιῆι γρηὶ πολλῆισιν φίληι
book 9	Ἄβδηρα, καλὴ Τηίων ἀποικίη,
book 9a	ἐλευθέρα Κόρκυρα· χέζ’ ὅπου θέλεις.
book 9b.1	μάταια τἄλλα
book 9b.2	παρὰ Κρότωνα τἄστεα.
book 9c	ἀφνειὸς ἡ Κόρινθος 〈...〉.
book 10.1	ἕκητι
book 10.2	Συλοσῶντος εὐρυχωρίη
book 11.1	⏒–⏑ δῶρα καὶ θεοὺς
book 11.2	παρήπαφεν.
book 12	σοφῶς ὁ βοῦς ἔφασκεν ἀστράβην ἰδών· ‘οὐκ ἔστ’ ἐμὸν τὸ πρᾶγμα, πολλὰ χαιρέτω‘.
