Fragments on Life and Old Age
Ἀποσπάσματα περὶ Βίου καὶ Γήρως
by Apollodorus of Carystus II
eul_wid: ihu-aa    eul_aid: ihu

Period   Hellenistic
Dialect  Attic (com, frg)
Domain   Comedy
Format   Verse

Fragments on Life and Old Age is a lost comedy attributed to the New Comedy playwright Apollodorus of Carystus, who was active in early 3rd-century BCE Athens. The work is known solely by its title and a report of fifty-four surviving fragments, with no description of its plot or characters preserved. The title indicates it treated themes of life and aging, consistent with New Comedy's focus on domestic and social situations. The extant fragments suggest the play explored life stages and generational differences, the social and familial duties of the elderly, and the trials and comedies of aging. The play is not listed among Apollodorus's known works in standard ancient sources like the Suda, and its fragments presumably survived through quotations in later authors. While its direct influence is untraceable, Apollodorus's comedies were adapted by Roman playwrights like Terence, transmitting New Comedy conventions into the Western tradition. This work exemplifies the genre's enduring engagement with universal social themes.

Text
----

book 1	ἀπραγμόνως ζῆν ἡδύ· μακάριος βίος καὶ σεμνός, ἂν ᾖ μεθ’ ἑτέρων ἀπραγμόνων ἐν θηρίοις δὲ καὶ πιθήκοις ὄντα δεῖ εἶναι πίθηκον· ὢ ταλαιπώρου βίου.
book 2	. . στρατιώτην ἔργον ἄχρι γήρως λαβεῖν ἔστιν διηυτυχηκότ’, ἂν μὴ δειλὸς ᾖ.
book 3.1	τοῖς γὰρ μεριμνῶσίν
book 3.2	τε καὶ λυπουμένοις ἅπασα νὺξ ἔοικε
book 3.3	φαίνεσθαι μακρά.
book 4.1	ὅτε μειράκιον ἦν, τοὺς ἀώρους ἠλέουν, νυνὶ δ’ ὅταν γέροντος ἐκφορὰν ἴδω, κλάω· πρὸς ἐμὲ γάρ ἐστι
book 4.2	τοῦτ’, ἐκεῖνο δ’ οὔ.
book 5	καθίσω
book 6	οὐ πανταχοῦ Φρύξ εἰμι· τοῦ ζῆν ἢν ὁρῶ κρεῖττον τὸ μὴ ζῆν, χρήσομαι τῷ κρείττονι.
book 7.1	μὴ καταφρόνει, Φιλῖν’, ἐθῶν γεροντικῶν, οἷς ἔνοχος, εἰς τὸ γῆρας ἂν ἔλθῃς, ἔσει. ἀλλὰ μέγα
book 7.2	τοῦθ’ οἱ πατέρες ἠλαττώμεθα· ὑμεῖς μὲν ὠνειδίσατ’, ἐάν
book 7.3	τι μὴ ποιῇ[ln_5]ὁ πατὴρ
