Scholia-Aratus
Σχόλια εἰς Ἄρατον
by Aratus Scholia
eul_wid: ngq-ac    eul_aid: ngq

Period   Hellenistic
Dialect  Technical Koine
Domain   Grammar
Format   Verse

The Scholia-Aratus are a corpus of ancient and medieval explanatory annotations on the Phaenomena, the influential astronomical poem by Aratus of Soli. Compiled by later scribes from the work of multiple commentators across many centuries, these scholia form a layered exegetical tradition designed to elucidate the poem's challenging vocabulary, complex mythological allusions, and technical astronomical content for students and scholars. Their creation and preservation underscore the poem's enduring status as a fundamental educational text in the Greco-Roman world and beyond. The notes primarily engage in textual exegesis, clarifying Aratus's archaic diction and grammatical constructions. They also provide detailed astronomical commentary, identifying celestial bodies and explaining phenomena, alongside mythological etiology that expands on the constellation myths referenced in the poem. Further annotations offer literary analysis, often tracing Aratus's descriptions back to his chief prose source, the work of the astronomer Eudoxus of Cnidus. Transmitted fragmentarily within the margins of numerous medieval manuscripts of the Phaenomena, the scholia were critically consolidated in the modern era by Ernst Maass in his edition Commentariorum in Aratum reliquiae. As a critical resource for understanding the reception of Aratus's work, the scholia offer essential insight into ancient pedagogical methods, the literary treatment of scientific material, and the state of astronomical and mythological knowledge in antiquity.

Text
----

book 9.1	ἢ γυρῶσαι, κύκλῳ τῶν φυτῶν τὴν γῆν σω‐
book 9.2	ρεῦσαι (supra versum περισκάψαι καλῶς;
book 9.3	cf. p. 54, 1—2).
book 14.1	(πρῶτόν τε καὶ ὕστατον): ἀντὶ τοῦ διὰ παν‐
book 14.2	τὸς χρόνου καθ’ ἑκάστην ὥραν (58, 5—6).
book 18.1	(τεκμήρατε): πιστώσασθαι ἀπὸ τοῦ τεκ‐
book 18.2	μηρίου ἢ εἰς τέλος ἀγάγετε. τὸ γὰρ τέκμωρ
book 18.3	τέλος. ἄλλοι δὲ δείξατε (61, 11—14).
book 18.4	add. altera manus τὸ γὰρ τέκμαρ καὶ πέρας
book 18.5	ταὐτόν ἐστιν κατὰ τὴν ἀρχαίαν γλῶτταν.
book 53.1	ἡ σπεῖρα φέρεται ἄχρι τοῦ ὀπισθίου (95,
book 53.2	13).
book 55	(οἰόθεν): ἐξ ἑνὸς μέρους (96, 7).
book 109.1	(διακρίσιος περιμεμφέος): τῆς διακρίσιος
book 109.2	ἐχούσης μέμψιν (132, 4—5).
book 118.1	(ὑποδείελος): πρὸς ἑσπέραν ὅτε οὐδεὶς
book 118.2	αὐτὴν ἑώρα (134, 12—13).
book 217.1	(εὐαλδέος): ἀπὸ τοῦ ἄλδω τὸ αὐξάνω ἢ
book 217.2	ἐκ τοῦ ἅλλω τὸ πηδῶ πλεονασμῷ τοῦ Δ
book 217	(cf. sch. 394, p. 264, 4).
book 270.1	(ἀπευθέος): ἀπευθέες ἄπειροι ἄτεχνοι.
book 270.2	ἀπευθὴς ἄφημος.
book 516	(ἐληλάμενος): καθήμενος ἀντὶ τοῦ ἐπὶ γόνυ.
book 600.1	(παρηορίαι): παρήορος παρειμένος τὰς φρένας.
book 600.2	παρήορος ἵππος καὶ παρηορίῃσι (Π 152)
book 600.3	ταῖς ἐξὼ τοῦ ζυγοῦ ἡνίαις.
book 676.1	(ἀμαρυγαὶ): ἀμαρυγαὶ ὄψεις. οἱ δὲ ἀκτῖνας
book 676.2	ὄψεως. ἀμαρυγὴ λαμπηδών.
book 1.1	πάνυ πρεπόντως ὁ Ἄρατος τὴν τῶν ἄσ‐
book 1.2	τρων διεξιέναι μέλλων θέσιν, τούτων τὸν
book 1.3	πατέρα καὶ δημιουργὸν Δία ἐν πρώτοις
book 1.4	προσφωνεῖ.
book 9.1	(γυρῶσαι): ἢ κύκλῳ τῶν φυτῶν γῆν σωρεῦ‐
book 9.2	σαι. (54, 1—2)
book 10-11.1	οἱ ἀκινητοὶ γὰρ οὗτοί εἰσιν οἱ ἀπλανεῖς
book 10-11.2	καθ’ αὑτούς, συμπεριάγονται δὲ τῇ τοῦ οὐ‐
book 10-11.3	ρανοῦ ῥύμῃ. ἄστρον δέ ἐστι τὸ ἐκ πλείσ‐
book 10-11.4	των ἄστρων σύστημα οἷον Καρκίνος, Λέων,
book 10-11.5.1	Κύων καὶ τὰ τούτων παραπλήσια. ὁ δὲ Πίν‐
book 10-11.5.2	δαρος ἄστρον λέγει τὸν ἥλιον κατὰ παρά‐
book 10-11	χρησιν.

—
Canonical:  https://eulogikon.org/works/aratus-scholia-text-ngq-ac
License:    https://creativecommons.org/publicdomain/mark/1.0/
Cite as:    eul_wid: ngq-ac

Eulogikon publishes public-domain Greek texts in cleaned, structured, readable form and makes no copyright claim over that preparation (Public Domain Mark 1.0, https://creativecommons.org/publicdomain/mark/1.0/).
