Scholia-Clouds
Σχόλια εἰς Νεφέλας
by Aristophanes Scholia
eul_wid: mlw-ar    eul_aid: mlw

Period   Hellenistic
Dialect  Technical Koine
Domain   Grammar
Format   Verse

The Scholia to Aristophanes' Clouds is a corpus of ancient and Byzantine explanatory annotations on the Athenian comic playwright's work. Compiled over many centuries, from the Hellenistic period to the Middle Ages, these notes represent a layered tradition of scholarship rather than a unified composition by a single author. Transmitted in the margins and between the lines of medieval manuscripts of the play, the scholia comprise thousands of individual glosses that address the linguistic, historical, and cultural challenges posed by Old Comedy. Their content is diverse, encompassing lexical explanations of obscure terms, commentary on Athenian legal and social institutions, identifications of contemporary figures such as Socrates, notes on mythological references, and records of variant readings from different textual traditions. This compilation served a fundamentally pedagogical function, aiming to elucidate a complex and historically distant literary work for students and readers in later periods. The scholia survive in a fragmentary state, having been copied, abbreviated, and sometimes corrupted through successive generations of scribes. The most significant witness to the tradition is the 10th-century Codex Ravennas. As a repository of ancient exegetical activity, the scholia provide modern scholars with an invaluable resource for understanding classical Athenian society, the history of textual criticism, and the reception of Aristophanes' comedy across antiquity.

Text
----

book 1a	προλογίζει ὁ Στρεψιάδης supra text. V57VtChisParlChalcb (ὁ om. V57VaChalc).
book 1b	τὸ “ἰοὺ ἰού” κῶλόν ἐστι μονόμετρον ... ἀκατάληκτον· ἐφεξῆς δὲ στίχοι ... ἀκατάληκτοι σξʹ, ὧν αʹ μὲν “Ζεῦ βασιλεῦ, τὸ χρῆμα τῶν νυκτῶν ὅσον”, τελευταῖος δὲ ... γενήσομαι.”
book 1c	δυσφορῶν ... σχετλιάζων ταῦτα βοᾷ. ἀπέρατον μὲν ... ἐπὶ ἔργων. καὶ ὁ Στρεψιάδης οὖν ἐνταῦθα ὡς ἀγρυπνῶν ὑπὸ φροντίδος τινὸς μεγάλην οἴεται τὴν νύκτα καὶ σχεδὸν ἀπέραντον.
book 1d alpha	(post 1a) δυσχεραίνων δὲ τοῦτό φησιν· ἔστι τὸ προοίμιον ... πράγματος Lb (cf. Tr21d).
book 1d beta	δυσχερῶν Στρεψιάδης ... ταῦτά φησι καὶ σχετλιάζων βοᾷ “ἰοὺ ἰού” Chalc(mrg.) (cf. Tr1/2 1a).
book 1d gamma	ταῦτα σχετλιάζων ὑπὸ τῆς φροντίδος φησίν M(mrg.) (cf. Tr1/2 1a).
book 1e	παρεπιγραφή int. CrV57(mtext.) (cf. sch.vet. 1a in.).
book 1f	ἰοὺ ἰού] φεῦ φεῦ CrV57(mtext.) PalChalch.
book 2a alpha	οὐ πρᾶγμά τί φησιν, ἀλλὰ αὗται αἱ νύκτες κατὰ τὴν Chalc ἀττικὴν περίφρασιν [φράσιν] lChalc(mrg.).
book 2a beta	ἀττική ἐστι περίφρασις, ἤγουν αὗται αἱ νύκτες· δοκεῖ δὲ ἐκ τοῦ δυσχε‐ ραίνειν βαρύ τι καὶ μέγα ἡγεῖσθαι τὰς νύκτας διάστημα b(mrg.).
book 2b	τὸ χρῆμα] τὸ διάστημα Par, τὸ πρᾶγμα CrCant.2(M).
book 2c	ὅσον] θαυμαστικόν PaHo, μέγα PaVab(MN), ὁπόσον· ἤγουν μεγάλαι Lb.
book 3a	ὡς] λίαν Par(text. ὡς ἀπέραντον).
book 3b	ἀπέραντον] ἀπλήρωτον CrV57(mtext.)Cant.2, οὗ πέρας οὐκ ἔστιν V57(mtext.)M9(m2) (sch.vet. 3 post in.), πέρας μὴ ἔχουσα〈ι〉 (Cang), μὴ τέλος ἔχουσαι Lb, μὴ ἔχον τέλος b, πολύν (sic) Chalc, ἀτελείωτον (D) (Tz1 3b), ἀτελεύτητον· ἀπὸ τοῦ περαιόω (M).
book 3c alpha	ἀπέρατον ἤγουν Ho τὸ μὴ ἔχον πέρας· ἀπέραντον δὲ τὸ μὴ περαι‐ νόμενον καὶ τὸ ὅπερ μὴ δύναιτό τις ἐξελθεῖν.
book 3c beta	γρ. δὲ καὶ μετὰ τοῦ ν· ἤγουν ἀτελείωτον Ho(super α).
book 3d	γενήσεται] μέλλει ὑπάρξειν Cr, ὑπάρξει lb, φανήσεται Vab.
book 3e	“οὐδέποτε γενήσεται ἡ ἡμέρα;” ἔνιοι ἀποφαντικῶς ἀναγινώσκουσιν Chis(mrg.).
book 4a	καὶ μὴν] τολοιπόν Chalc, καίτοι (M).
book 4b	πάλαι] πρὸ ὥρας CrV57(mtext.), πρὸ l ἐκ Chalc πολλοῦ lChalc πρὸ καιροῦ b.
book 4c	ἀλεκτρυόνος] τῆς φωνῆς τοῦ Cr, τοῦ πετεινοῦ Cant.2, τούτου ... φω‐ νὴ ἡμέραν ἐγγίζειν φασίν PaHo (cf. Th2Tr1/2 4b), φωνήσαντος lb, φωνοῦντος (M), βοήσαντος Chalc, λαλοῦντος Vd(m2).
book 4d	ἀλεκτρυὼν ἀττικόν, ἀλέκτωρ παρὰ Ἀλεξανδρεῦσιν, ἀλεκτορὶς δὲ ἀλεκ‐ τορίδος ἐπὶ τῆς θηλείας, ὅθεν καὶ “ᾠὰ ἀλεκτόρεια”.
book 5a	οἰκέται] δοῦλοι ParlChalch, οἱ ἐν τῷ οἴκῳ πάντες ἢ οἱ δοῦλοι Cr(m2).
