Fragments of a Dionysian Tragedy
Ἀποσπάσματα Διονυσιακῆς Τραγῳδίας
by Chaeremon the Tragic Poet
eul_wid: gsq-aa    eul_aid: gsq

Period   Classical
Dialect  Attic (dr, frg)
Domain   Drama
Format   Verse

The Fragments of a Dionysian Tragedy comprises 94 surviving passages from a lost play by the fourth-century BCE Athenian poet Chaeremon. Written in Attic Greek verse for the tragic stage, the work’s original plot and complete structure remain unknown, though its title indicates a traditional subject involving the god Dionysus. The extant text is characterized by a highly descriptive and visually elaborate style, marked by detailed imagery and refined language. These fragments survive not in a continuous manuscript but through quotations by later ancient authors such as Athenaeus. Modern scholarship interprets Chaeremon’s ornate literary manner as representative of a trend in later classical tragedy, which at times prioritized intricate poetic detail over direct theatrical spectacle. The philosopher Aristotle observed that this stylistic quality rendered Chaeremon’s work more suitable for reading than for stage performance. Collectively, the fragments provide a valuable glimpse into the evolution of Greek dramatic poetry following the era of the great fifth-century tragedians.

Text
----

book 1.1	[ln_1]καὶ σώματος μὲν ὄψεις κατειργάζετο
book 1.2	στίλβοντα λευκῷ χρώματι διαπρεπῆ. αἰδὼς δ’ ἐπερρύθμιζεν ἠπιώτατον ἐρύθημα λαμπρῷ προστιθεῖσα
book 1.3	χρώματι·[ln_5]κόμαι δὲ κηρόχρωτος ὡς ἀγάλματος αὐτοῖσι βοστρύχοισιν ἐκπεπλασμένου ξουθοῖσιν ἀνέμοις ἐνετρύφων
book 1.4	φορούμεναι
book 1c**	dramatis personae: (ΠΑΝ, ΠΟΙΝΑ, ΑΘΑΝΑ, ΕΡΜΑΣ) ΑΧΙΛΛΕΥΣ, ΦΟΙΝΙΞ, ΘΕΡΣΙΤΑΣ (decapitatus), ΔΙΟΜΗΔΗΣ, ΜΕΝΕΛΑΟΣ, ΑΓΑ‐ ΜΕΜΝΩΝ, ΦΟΡΒΑΣ, ΑΙΤΩΛΟΣ, ΑΥΤΟΜΕΔΩΝ, ΔΜΩΣ
book 2.1	τύχη τὰ θνητῶν
book 2.2	πράγματ’, οὐκ εὐβουλία
book 3	ὡς οὐχ ὑπάρχων, ἀλλὰ τιμωρούμενος
book 4*.1	Πενθεὺς ἐσομένης
book 4*.2	συμφορᾶς ἐπώνυμος
book 5	χορῶν ἐραστὴς κισσός, ἐνιαυτοῦ δὲ παῖς
book 6.1	στεφάνους
book 6.2	τεμόντες ἀγγέλους εὐφημίας
book 7.1	κισσῷ τε ναρκίσσῳ τε
book 7.2	τριέλικας κύκλῳ στεφάνων ἑλικτῶν ...
book 8	[ln_1]ῥόδ’ ὀξυφεγγῆ κρίνεσιν ἀργεννοῖς ὁμοῦ
book 9.1	[ln_1]ἀνθηροῦ τέκνα ἔαρος πέριξ
book 9.2	στρώσαντες
book 10.1	ἔνθ’ αἱ μὲν αὐτῶν εἰς ἀπείρονα
book 10.2	στρατόν ἀνθέων ἄλογχον ἐστράτευσαν, ἡδοναῖς θηρώμεν〈αι 〉οντα λειμώνων τέκνα
book 11.1	[spk_οἱ παῖδες]οἱ παῖδες
book 11.2	στεφάνους ἑτοιμάζουσιν, οὓς εὐφημίας κήρυκας εὐχαῖς
book 11.3	προὐβάλοντο δαιμόνων
book 12.1	[ln_1]πολλὴν ὀπώραν Κύπριδος εἰσορᾶν
book 12.2	παρῆν ἄκραισι
book 12.3	περκάζουσαν οἰνάνθαις
book 12.4	χρόνου
book 13	[ln_1]κόμαισιν ὡρῶν σώματ’ εὐανθῆ ῥόδα εἶχον, τιθήνημ’ ἔαρος ἐκπρεπέστατον
book 14.1	[ln_staging]ΟΙΝΕΥΣ περὶ παρθένων
book 14.2	τινῶν διηγούμενος ὧν ἐθεᾶτο (sc. μαινάδων ?)[ln_1]ἔκειτο δ’ ἡ μὲν λευκὸν εἰς
book 14.3	σεληνόφως
book 14.4	φαίνουσα μαστὸν λελυμένης ἐπωμίδος, τῆς δ’ αὖ χορεία λαγόνα τὴν ἀριστεράν ἔλυσε· γυμνὴ δ’ αἰθέρος θεάμασιν[ln_5]ζῶσαν γραφὴν ἔφαινε, χρῶμα δ’ ὄμμασιν λευκὸν μελαίνης ἔργον ἀντηύγει
book 14.5	σκιᾶς. ἄλλη δ’ ἐγύμνου καλλίχειρας ὠλένας, ἄλλης
book 14.6	προσαμπέχουσα θῆλυν αὐχένα. ἡ δὲ ῥαγέντων
book 14.7	χλανιδίων ὑπὸ πτυχαῖς[ln_10]ἔφαινε μηρόν, κἀξεπεσφραγίζετο ὥρας γελώσης
book 14.8	χωρὶς ἐλπίδων ἔρως. ὑπνωμέναι δ’ ἔπιπτον ἑλενίων ἔπι, ἴων
book 14.9	τε μελανόφυλλα
book 14.10	συγκλῶσαι
book 14.11	πτερά κρόκον θ’, ὃς ἡλιῶδες εἰς ὑφάσματα[ln_15]πέπλων
book 14.12	σκιᾶς εἴδωλον ἐξωμόργνυτο, ἕρσῃ δὲ θαλερὸς ἐκτραφεὶς ἀμάρακος λειμῶσι μαλακοὺς ἐξέτεινεν αὐχένας.
book 14b.1	Χρὴ τιμᾶν θ[– ... Ἀρχὴ γὰρ θνητ[οῖς Ἱμείρου πάση[ς[ln_5]Ῥώμην
book 14b.2	τιμῶμεν μ[ Ἦθος ἔχειν ὅσιον ζη[ Μὴ πᾶν κέρδος ὅρα [ .[..]ν[.].κιαν
book 14b.3	σαυτ[ ...
book 16,15.1	[spk_sc. ὁ οἶνος
book 16,15.2	παρασκευάζων]τῶν
book 16,15.3	χρωμένων γὰρ
book 16,15.4	τοῖς
book 16,15.5	τρόποις κεράννυται sc. ὁ οἶνος
book 16,15.6	παρασκευάζων γέλωτα, σοφίαν, ἀμαθίαν, εὐβουλίαν.
book 17.1	ἐπεὶ δὲ σηκῶν
book 17.2	περιβολὰς ἠμείψαμεν ὕδωρ
book 17.3	τε ποταμοῦ σῶμα διεπεράσαμεν
book 18.1	χρεία δ’ ἀνάγκης οὐκ ἀπῴκισται
book 18.2	πολύ
book 19	ἅπαντα νικᾷ καὶ μεταστρέφει τύχη
book 20	σχολῇ βαδίζων ὁ χρόνος ἀφικνεῖται τ〈ὸ π〉ᾶν
book 21.1	οὐκ ἔστιν οὐδὲν τῶν ἐν ἀνθρώποις ὅ τι οὐκ ἐν
book 21.2	χρόνῳ ζητοῦσιν ἐξευρίσκεται
book 22	χρόνος μαλάσσει πάντα κἀξεργάζεται
book 23.1	τό τοι κράτιστον
book 23.2	πανταχοῦ τιμητέον· ὁ γὰρ
book 23.3	φρονῶν εὖ πάντα
book 23.4	συλλαβὼν ἔχει
book 24.1	οὐ ζῶσιν οἵ τι μὴ συνιέντες
book 24.2	σοφόν
book 25.1	πρὶν γὰρ
book 25.2	φρονεῖν εὖ, καταφρονεῖν ἐπίστασαι
book 26	σφαλεὶς γὰρ οὐδεὶς εὖ βεβουλεῦσθαι δοκεῖ
book 27	ψευδῆ δὲ τοῖς ἐσθλοῖσιν οὐ πρέπει λέγειν
book 28	ἡγοῦ δ’ ἐν ὀργῇ πάντα γίγνεσθαι κακά
book 29	ὀργὴ δὲ πολλὰ δρᾶν ἀναγκάζει κακά
book 30	ὅλως τὸ κρεῖσσον οὐκ ἐᾷ φρονεῖν μέγα
book 31	σοφῶν γὰρ ἀνδρῶν τὰς ἁμαρτίας καλῶς κρίνειν, τὸ δ’ εἰκῆ καὶ μετὰ σπουδῆς κακόν
book 32	γυναῖκα θάπτειν κρεῖσσόν ἐστιν ἢ γαμεῖν
book 33.1	γένοιτό μοι τὰς χάριτας ἀποδοῦναι
book 33.2	πατρί
book 35.1	πρὸς υἱὸν ὀργὴν οὐκ ἔχει
book 35.2	χρηστὸς
book 35.3	πατήρ
book 36.1	πλοῦτος δὲ πρὸς μὲν τὰς ὅλας
book 36.2	τιμὰς ἰών οὐκ ἔσχεν ὄγκον ὥστε καὶ δόξης
book 36.3	τυχεῖν, ἀλλ’ ἔστ’ ἄσεμνος· ἐν δὲ δόσει βροτῶν ἡδὺς
book 36.4	συνοικεῖν καί τιν’ εἰληχὼς χάριν
book 37.1	οὐδεὶς ἐπὶ σμικροῖσι λυπεῖται
book 37.2	σοφός
book 38	γέρων γὰρ ὀργῇ πᾶς ὑπηρετεῖν κακός
book 39.1	τοῦ τε δυσκαπνωτάτου
book 39.2	φοίνικος ἐκ γῆς ῥιζοφοιτητοὺς
book 39.3	φλέβας
book 41?.1	ἔαρος ἡ νύμφη τέκνον
book 41?.2	τι μετὰ θέρους εἰς ὕστερον, ἐν
book 41?.3	χειμῶνι δ’ οἴχεται σὺν τῷ ἀνέμῳ κεκαρμένη
book 42.1	τὰς γὰρ
book 42.2	συμφοράς ἀπροσδοκήτους δαίμον[ες δι]ώρισαν

—
Canonical:  https://eulogikon.org/works/chaeremon-dionysian-tragedy-gsq-aa
License:    https://creativecommons.org/publicdomain/mark/1.0/
Cite as:    eul_wid: gsq-aa

Eulogikon publishes public-domain Greek texts in cleaned, structured, readable form and makes no copyright claim over that preparation (Public Domain Mark 1.0, https://creativecommons.org/publicdomain/mark/1.0/).
