Fragments on Cookery and Philosophy
Ἀποσπάσματα περὶ Ὀψοποιίας καὶ Φιλοσοφίας
by Damoxenus the Comic Poet
eul_wid: jag-aa    eul_aid: jag

Period   Hellenistic
Dialect  Attic (com, frg)
Domain   Comedy
Format   Verse

Fragments on Cookery and Philosophy is a modern descriptive title for a collection of passages attributed to the comic poet Damoxenus. His works survive only through fragments preserved by later authors, primarily within Athenaeus's Deipnosophistae. Damoxenus wrote during the period of Middle Comedy, and these excerpts, likely drawn from one or more of his lost plays, feature characteristic figures like cooks, parasites, and philosophers. The fragments reflect central themes of the genre, including the parody of philosophical jargon and intellectual pretension, and the elevation of cookery into a detailed, boastful art form that often mimics rhetorical or philosophical discourse. They also contain social satire targeting gluttony, luxury, and domestic life, creating a comic contrast between abstract idealism and physical appetite. The fragments are transmitted indirectly via quotation in later scholarly works, most notably Athenaeus's compendium on dining and society, which preserved them for their thematic relevance to food and social customs. Though fragmentary, Damoxenus's work provides valuable evidence for the evolution of Athenian comedy, illustrating the shift from political satire to generalized social and intellectual parody. The fragments aid philological and historical study of fourth-century BCE comic stock characters and themes, which subsequently influenced Roman comedy.

Text
----

book 1.1	[spk_β]εἰ δ’ οὐχ ἱκανόν
book 1.2	σοι, τὸν ἐλέφανθ’ ἥκει φέρων ὁ παῖς. Β. τί δ’ ἐστὶ τοῦτο, πρὸς θεῶν; Α. ῥυτὸν δίκρουνον, ἡλίκον
book 1.3	τι τρεῖς
book 1.4	χωρεῖν χόας, Ἄλκωνος ἔργον. προὔπιεν δέ μοί ποτε[ln_5]ἐν Κυψέλοις Ἀδαῖος.
book 2.1	Ἐπικούρου δέ με ὁρᾷς μαθητὴν ὄντα
book 2.2	τοῦ σοφοῦ, παρ’ ᾧ ἐν δύ’ ἔτεσιν καὶ μησὶν οὐχ ὅλοις δέκα τάλαντ’ ἐγώ σοι κατεπύκνωσα τέτταρα.
book 2.1	[ln_5][spk_β]Β. τοῦτο δὲ τί ἐστιν; εἰπέ μοι. Α. καθήγισα. μάγειρος ἦν κἀκεῖνος, ὦ γῆ καὶ θεοί. Β. ποῖος μάγειρος; Α. ἡ φύσις πάσης τέχνης ἀρχέγονόν ἐστ’. Β. ἀρχέγονον, ὦλιτήριε; Α. οὐκ ἔστιν οὐδὲν
book 2.2	τοῦ πονεῖν
book 2.3	σοφώτερον,[ln_10]πᾶν εὐχερές
book 2.4	τε πρᾶγμα
book 2.5	τοῦ λόγου
