On the Underworld and the Soul
Ἀποσπάσματα
by Democritus of Abdera
eul_wid: byu-ab    eul_aid: byu

Period   Classical
Dialect  Ionic
Domain   Philosophy
Format   Collection

The work conventionally titled On the Underworld and the Soul is not a discrete, surviving text by the pre-Socratic philosopher Democritus of Abdera. It is a modern scholarly construct, a thematic compilation of his doctrines pieced together from fragmentary quotations and testimonia preserved by later ancient authors. Democritus, a prolific writer of the 5th and 4th centuries BCE and a principal architect of atomist philosophy, posited that all reality consists of indivisible particles, or atoms, moving in void space. Within this rigorously materialist system, he defined the soul as a composite of particularly fine, spherical, and mobile atoms. Consequently, his view of death entailed the dissolution of this atomic compound, precluding any form of personal immortality or a literal afterlife. References to Hades in the surviving fragments are thus generally interpreted by modern scholarship not as descriptions of a subterranean realm of the dead, but as ethical allegories for a life of moral and psychological wretchedness.

No complete work by Democritus survives. Our knowledge derives entirely from secondary sources, including over four hundred fragments and reports collected from authors such as Aristotle, Sextus Empiricus, Plutarch, and the anthologist Stobaeus. These fragments reveal a wide-ranging intellect who applied his atomic theory to ethics, advocating for a state of tranquility, or euthymia, achieved through moderation, intellectual cultivation, and freedom from irrational fears, including the terror of divine retribution after death. His physical and ethical theories were critically adopted and developed by Epicurus in the following century and were later given powerful poetic expression by Lucretius, securing Democritus's enduring influence on the history of materialist and scientific thought.

Text
----

tit,0a-4a	ΔΗΜΟΚΡΙΤΟΥ ΗΘΙΚΑ
0a	ΠΥΘΑΓΟΡΗΣ
0b	ΠΕΡΙ ΤΗΣ ΤΟΥ ΣΟΦΟΥ ΔΙΑΘΕΣΕΩΣ
0c (tit)	ΠΕΡΙ ΤΩΝ ΕΝ ΑΙΔΟΥ 〈 ΑΒ ..?〉. ATHEN. IV 168 B Δημόκριτον δ’ Ἀβδηρῖται δημοσίαι κρίνοντες ὡς κατεφθαρκότα τὰ πατρῶια, ἐπειδὴ ἀναγνοὺς αὐτοῖς τὸν Μέγαν διάκοσμον καὶ τὰ Περὶ τῶν ἐν Ἅιδου εἶπεν εἰς ταῦτα ἀνηλωκέναι, ἀφείθη.
1	PROCL. in remp. II 113, 6 Kroll τὴν μὲν περὶ τῶν ἀποθανεῖν δοξάντων ἔπειτα ἀναβιούντων ἱστορίαν ἄλλοι τε πολλοὶ τῶν παλαιῶν ἤθροισαν καὶ Δ. ὁ φυσικὸς ἐν τοῖς Περὶ τοῦ Ἅιδου γράμμασι ν. καὶ τὸν θαυμαστὸν ἐκεῖνον Κωλώτην, τὸν Πλάτωνος ἐχθρόν, Ἐπικούρειον ὄντα πάντως ἔδει 〈τὰ τοῦ〉 καθηγεμόνος τῶν Ἐπικούρου δ〈ογμάτων〉 μὴ ἀγνοῆσαι μηδὲ ἀγνοήσαντα ζητεῖν, πῶς τὸν ἀποθανόντα πάλιν ἀναβιῶναι δυνατόν. οὐδὲ γὰρ ὁ θάνατος ἦν ἀπόσβεσις, ὡς ἔοικεν, τῆς συμπάσης ζωῆς τοῦ σώματος, ἀλλ’ ὑπὸ μὲν πληγῆς τινος ἴσως καὶ τραύματος παρεῖτο, τῆς δὲ ψυχῆς οἱ περὶ τὸν μυελὸν ἔμενον ἔτι δεσμοὶ κατερριζωμένοι καὶ ἡ καρδία τὸ ἐμπύρευμα τῆς ζωῆς εἶχεν ἐγκείμενον τῶι βάθει· καὶ τούτων μενόντων αὖθις ἀνεκτήσατο τὴν ἀπεσβηκυῖαν ζωὴν ἐπιτήδειον πρὸς τὴν ψύχωσιν γενόμενον.
1a	PHILOD. de morte 29, 27 Mekler τῆς δ’ αὖ σηπεδόνος ἔχεται κατὰ Δημόκριτον 〈καὶ〉 τὸ δυσωπεῖσθαι διὰ τὴν ὀσφ〈ρ〉αντ〈ικ〉ῶν τού〈των φαν〉τασ〈ίαν〉 καὶ δυσμορφίας· καταφέρονται γὰρ ἐπὶ τοιοῦτο πάθος σκιαὶ τῶν μετὰ τῆς εὐσαρκίας καὶ τοῦ κάλλους ἀποθνησκόντων ... 30, 1 καὶ παραπέμπουσιν, ὅτι πάντες ἅμα τοῖς ὡς Μίλων εὐσάρκοις ὀλίγου μὲν χρόνου σκελετοὶ γίνονται, τὸ δὲ πέρας εἰς τὰς πρώτας ἀναλύονται φύσεις· ὑπακουστέον δὲ δῆλον ὅτι τὰ τοῖς εἰρημένοις ἀνάλογα καὶ περὶ τῆς κακοχροίας καὶ συνόλως τῆς δυσμορφίας. κενότατον τοίνυν ἐστὶν τὸ λυπεῖσθαι προορωμένους τὴν οὐ πολυτελῆ ταφὴν καὶ περίβλεπτον, ἀλλὰ λιτὴν καὶ προστυχοῦσαν. 39, 9 εἶθ’ ὅταν ἐναργὴς αὐτοῦ [nämlich τοῦ θανάτου] γένηται θεωρία, παράδοξος αὐτοῖς ὑποπίπτει· παρ’ ἣν αἰτίαν οὐδὲ διαθήκας ὑπομένοντες γράφεσθαι περικατάληπτοι γίνονται καὶ δίσ ς ’ ἐμφορεῖν ἀναγκάζονται κατὰ Δημόκριτον.
1b	ΤΡΙΤΟΓΕΝΕΙΑ
2	ETYM. ORION. p. 153, 5 Τριτογένεια ἡ Ἀθηνᾶ κατὰ Δημόκριτον φρόνησις νομίζεται. γίνεται δὲ ἐκ τοῦ φρονεῖν τρία ταῦτ α · βουλεύεσθαι καλῶς, λέγειν ἀναμαρτήτως καὶ πράττειν ἃ δεῖ. SCHOL. GENEV. I 111 Nic. Δ. δὲ ἐτυμολογῶν τὸ ὄνομά [sc. Τριτογένεια] φησιν, ὅτι ἀπὸ τῆς φρονήσεως τρία ταῦτα συμβαίνει· τὸ εὖ λογίζεσθα ι , τὸ εὖ λέγειν καὶ τὸ πράττειν ἃ δε ῖ .
2a	ΠΕΡΙ ΑΝΔΡΑΓΑΘΙΑΣ ἢ ΠΕΡΙ ΑΡΕΤΗΣ.
2b	ΑΜΑΛΘΕΙΗΣ ΚΕΡΑΣ.
2c	ΠΕΡΙ ΕΥΘΥΜΙΗΣ ἢ ΕΥΕΣΤΩ.
3	PLUT. de tranqu. an. 2 p. 465c ὁ μὲν οὖν εἰπὼν ὅτι δεῖ τὸν εὐθυμεῖσθαι μέλλοντα μὴ .. . ξυνῆι πρῶτον μὲν ἡμῖν πολυτελῆ τὴν εὐθυμίαν καθίστησι, γινομένην ὤνιον ἀπραξίας ... STOB. IV 39, 25 H. τὸν εὐθυμεῖσθαι μέλλοντα χρὴ μὴ πολλὰ πρήσσει ν , μήτε ἰδίηι μήτε ξυνῆ ι , μηδὲ ἅσ ς ’ ἂν πράσση ι , ὑπέρ τε δύναμιν αἱρεῖσθαι τὴν ἑωυτοῦ καὶ φύσι ν · ἀλλὰ τοσαύτην ἔχειν φυλακή ν , ὥστε καὶ τῆς τύχης ἐπιβαλλούσης καὶ ἐς τὸ πλέον ὑπηγεομένης τῶι δοκεῖ ν , κατατίθεσθα ι , καὶ μὴ πλέω προσάπτεσθαι τῶν δυνατῶ ν . ἡ γὰρ εὐογκίη ἀσφαλέστερον τῆς μεγαλογκίη ς.
4	CLEM. Strom. II 130 [II 184, 10 St.] ἀλλὰ καὶ οἱ Ἀβδηρῖται τέλος ὑπάρχειν διδάσκουσιν· Δ. μὲν ἐν τῶι περὶ τέλους τὴν εὐθυμία ν, ἣν καὶ εὐεστὼ προσηγόρευσεν. καὶ πολλάκις ἐπιλέγει· ‘ τέρψις γὰρ καὶ ἀτερπίη οὖρος 〈τῶν συμφόρων καὶ τῶν ἀσυμφόρων ‘ [B 188] ὃ προκεῖσθαι τέλος τῶι βίωι τῶν ἀνθρώπων τῶν τε νέων καὶ〉 τῶν περιηκμακότων. Ἑκαταῖος δὲ αὐτάρκειαν [73 A 4] καὶ δὴ Ἀπολλόδοτος ὁ Κυζικηνὸς τὴν ψυχαγωγίαν [74, 1] καθάπερ Ναυσιφάνης τὴν ἀκαταπληξίαν [75 B 3]· ταύτην γὰρ ἔφη ὑπὸ Δημοκρίτου ἀθαμβίην λέγεσθαι.
4a	ΥΠΟΜΝΗΜΑΤΩΝ ΗΘΙΚΩΝ 〈 ΑΒ ...?〉.
tit,4b-11a	ΦΥΣΙΚΑ
4b (tit)	ΜΕΓΑΣ ΔΙΑΚΟΣΜΟΣ 〈ΛΕΥΚΙΠΠΟΥ〉 VOL. HERC. Coll. alt. VIII 58—62 fr. 1 [Crönert Kolotes S. 147] γ〉ράφων 〈ὅτι ....... τὰ〉 αὐτὰ πρότε〈ρον εἴρηται ἐν〉 τῶι Με〈γ〉άλω〈ι διακόσμω〉ι, ὅν φασιν εἶνα〈ι Λευκίππου.〉 κἀπ〈ὶ〉 το〈σ〉οῦτο τὸ 〈τῶν ἄλλ〉ων 〈ἰ〉διοποιούμενος 〈ἐλέγχετ’ ο〉ὐ μόνον ἐν τῶ〈ι Μικρῶι δι〉ακόσμωι τιθεὶ〈ς ἃ κἀν τῶι〉 Με〈γάλωι κεῖται〉 ... fr. 2, 6 steht der Name Δημόκριτ〈ο〉ς.
4c	ΜΙΚΡΟΣ ΔΙΑΚΟΣΜΟΣ.
