Gudian Etymological Work
Ἐτυμολογικὸν τὸ Γουδιανόν
by Gudian Etymological Work
eul_wid: xib-aa    eul_aid: xib

Period  Byzantine
Domain  Lexicography
Format  Collection

Text
----

α 1	Ἀάλιον · ἄπληκτον
α 2	Ἀάγη · ἡ ἔκπληξις
α 3	Ἀασιφόρος · βλάβην φέρων
α 4	Ἀάσαι · κορέσαι, καθυπνῶσαι, βλάψαι
α 5	Ἄακτον · ἄθραυστον
α 6	Ἀάνης · χρήσιμος
α 7	Ἀάβηκτον · μέλαν, ἀβλαβές
α 8	Ἀαγές λ · ἄ θρ αυστον, ἰσχυρόν
α 9	Ἀάπτους Α · ἀπροσπελάστους, ὧν οὐ δύναταί τις ἅψασθαι
α 10	Ἀά · σχετλιαστικὸν ἐπίρρημα καὶ σύστημα ὑδάτων
α 11	Ἀαδεῖν · ὀχλεῖν, ἀπορεῖν
α 12	Ἀαδέν · ὑεία κόπρος
α 13	Ἀάθη · ἠπατήθη
α 14	Ἀάθης · ἥμαρτες
α 15	Ἀαιδής · εἰς τὸ Ἀνία, Ἀναιδής
ο 1	ος · εἰς τὸ. νία, Ἀνέμων
τ 1	τος · τρι ακ άς. Κύπριοι
α 16	Ἀακραγές · συὸς κόπρος
α 17	Ἄακτον · ἄθρ αυ στον
α 18	Ἀάλιον · ἄπληκτον
α 19	Ἀάνης · χρήσιμος
α 20	Ἄβαλε · σχετλιαστικὸν ἐπίρρημα· παρὰ τὸ βάλλω· καὶ μετὰ τοῦ ἐπιτατικοῦ α ἐπίρρημα ἄβαλε
α 21	Ἄβαλε · παρὰ τὸ βάλε ἐπίρρημα
α 22	Ἀβύρβηλον · ἀναίσχυντον
α 23	Ἄβαξ · κυρίως ὁ μὴ ἔχων βάσιν, καταχρηστικῶς δὲ καὶ ἐπὶ οἵου δήποτε σανιδίου
α 24	Ἀβλέπτημα · ἁμάρτημα τὸ ἄνευ βουλῆς πραττόμενον
σ 1	σσος · ὑδάτων φύσις ἤγουν πλῆθος ἀπέραντον
α 25	Ἀβληχρόν · τὸ ἀσθενές· δύνατ αι τ ὸ α καὶ κατ’ ἐπίτασιν τὸ σφόδρα
α 26	Ἀβελτηρία · ἀνοησία, μωρία, ἡ τὸ βέλτιον μὴ γινώσκου σα · ἀπὸ τοῦ ἀβέλτερος· τοῦτο παρὰ τὸ βέλτερος μετὰ τοῦ στερητικοῦ α · τὸ θηλυκὸν ἀβελτερία καὶ τροπῇ τοῦ ε εἰς η ἀβελτηρία. ἀβέλτερος ἀπὸ τοῦ βάλλω τύπῳ συγκριτικῷ· ὥσπερ γὰρ παρὰ τὸ φέρω φέρτερος, οὕτως καὶ παρὰ τὸ βάλλω βέλτερος. τὸ βάλλω συντάσσεται αἰτιατικῇ, τὸ δὲ φέρω δοτικῇ καὶ αἰτιατικῇ
α 27	Ἀβλεμέως · ἀφροντίστως, οἷον ἀμελέως· παρὰ τὸ ἀμελεῖν ὑπερθέσει ἀλεμέως καὶ ἐν πλεονασμῷ τοῦ β ἀβλεμέως
α 28	Ἀβραάμ · πατὴρ πολλῶν ἐθνῶν
α 29	Ἀβλής · εἰς τὸ Προβλῆτι
α 30	Ἁβροείμονες · κατηγλαϊσμένοι, λαμπροφόροι· ἁβρὸν γὰρ τὸ λαμπρὸν καὶ τρυφερὸν καὶ κοῦφον. ἁβρός οὖν, ὁ ἁπαλός, παρὰ τὸ ἅπτω, ὁ εὐαφής· ἢ κατὰ στέρησιν τοῦ βάρους ἄβαρος καὶ κατὰ συγκοπὴν ἁβρός, ὁ μ ὴ ὢν βαρὺς ἀλλὰ κοῦφος καὶ ἐλαφρός
