Fragments on Exile and Lineage
Ἀποσπάσματα περὶ Φυγῆς καὶ Γένους
by Euripides
eul_wid: cbm-am    eul_aid: cbm

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The title "Fragments on Exile and Lineage" refers not to an ancient work by Euripides but to a modern scholarly compilation of passages from his lost dramas, thematically united by their exploration of displacement and ancestry. Euripides, the Athenian tragedian of the fifth century BCE, wrote numerous plays, of which only a fraction survive complete. The majority are known only through fragments, and the twin themes of exile and lineage recur with striking frequency across both his extant and fragmentary output. These fragments are preserved through quotations by later Greek and Roman authors, papyrus discoveries, and entries in ancient library catalogs. A modern collection organized under this title would constitute an editorial synthesis drawn from these disparate sources.

The content of such a compilation would center on fundamental Euripidean preoccupations. Exile is portrayed as a profound psychological and political catastrophe, often explored through the plight of refugees, suppliants, and outcasts. Lineage, or the claims of noble birth, is frequently subjected to critical scrutiny, with dramatic situations emphasizing the conflict between inherited status and demonstrated personal virtue. Characters of disputed or obscured parentage are common, serving to question aristocratic privilege. These themes converge in a deeper exploration of identity, examining how the self is constructed or shattered when traditional ties of family and city are broken, and probing the tension between innate human nature and social convention.

Euripides’ treatment of these subjects constituted a critical interrogation of the social and political foundations of Classical Athens. His psychologically complex portraits of displacement and his destabilization of traditional aristocratic values exerted a profound influence on later Hellenistic and Roman drama. Furthermore, his sententious and philosophically charged verses on these topics were extensively quoted and debated by subsequent philosophers, rhetoricians, and moralists, securing his legacy as a pivotal and provocative voice in the ancient literary tradition.

Text
----

book 1.1	ποίαν
book 1.2	σε φῶμεν γαῖαν ἐκλελοιπότα πόλει ξενοῦσθαι τῇδε; τίς πάτρας ὅρος; τίς ἔσθ’ ὁ φύσας; τοῦ κεκήρυξαι
book 1.3	πατρός;
book 2	τί σε μάτηρ ἐν δεκάτᾳ τόκου ὠνόμαζεν;
book 3	δειλῶν γυναῖκες δεσποτῶν θρασύστομοι.
book 4.1	πέφυκε γάρ
book 4.2	πως
book 4.3	παισὶ πολέμιον γυνὴ τοῖς
book 4.4	πρόσθεν ἡ ζυγεῖσα δευτέρῳ πατρί.
book 5.1	εἰ μὴ καθέξεις γλῶσσαν, ἔσται
book 5.2	σοι κακά.
book 6.1	τί γὰρ
book 6.2	πατρῴας ἀνδρὶ φίλτερον
book 6.3	χθονός;
book 7.1	κρεῖσσον δὲ πλούτου καὶ βαθυσπόρου
book 7.2	χθονὸς ἀνδρῶν δικαίων κἀγαθῶν ὁμιλίαι.
book 8	ἀνδρὸς ὑπ’ ἐσθλοῦ καὶ τυραννεῖσθαι καλόν.
book 9.1	ἦ που κρεῖσσον τῆς εὐγενίας τὸ καλῶς
book 9.2	πράσσειν.
book 10	κατθανεῖν δ’ ὀφείλεται καὶ τῷ κατ’ οἴκους ἐκτὸς ἡμένῳ πόνων.
book 11	ἔστι καὶ πταίσαντ’ ἀρετὰν ἀποδείξασθαι θανάτῳ.
book 12	Πάνακτος
book 13	ἀντραῖος
book 14.1	Ἕλλην γάρ, ὡς λέγουσι, γίγνεται Διός, τοῦ δ’ Αἴολος
book 14.2	παῖς, Αἰόλου δὲ Σίσυφος Ἀθάμας
book 14.3	τε Κρηθεύς θ’ ὅς τ’ ἐπ’ Ἀλφειοῦ ῥοαῖς θεοῦ μανεὶς ἔρριψε
book 14.4	Σαλμωνεὺς
book 14.5	φλόγα.
book 15.1	ἴδοιμι δ’ αὐτῶν ἔκγον’ ἄρσεν’ ἀρσένων· πρῶτον μὲν εἶδος ἄξιον
book 15.2	τυραννίδος· πλείστη γὰρ ἀρετὴ τοῦθ’ ὑπάρχον ἐν βίῳ, τὴν ἀξίωσιν τῶν καλῶν τὸ σῶμ’ ἔχειν.
book 16.1	λαμπροὶ δ’ ἐν αἰχμαῖς Ἄρεος ἔν
book 16.2	τε συλλόγοις, μή μοι τὰ κομψὰ ποικίλοι γενοίατο, ἀλλ’ ὧν πόλει δεῖ μεγάλα βουλεύοντες εὖ.
