Miscellanea
Μικτὰ
by Hexameter Papyri Anonymous
eul_wid: jni-aa    eul_aid: jni

Period   Hellenistic
Dialect  Epic (Homeric) (frg)
Domain   Poetry
Format   Verse

The Miscellanea is an anonymous Greek poetic work preserved solely in fragmentary papyrus form. This collection comprises 45 discrete passages composed in hexameter verse, as indicated by its title, which suggests a compilation of varied poetic material. The extant fragments, however, provide insufficient evidence to delineate specific narratives or thematic unities within the collection. Surviving lines include invocations to deities like Helios and Demeter, a passage describing the division of cosmic realms among the gods, and extensive catalogues of compound epithets, often beginning with prefixes denoting darkness or horses. The work survives in the papyrological record, most likely originating from Greco-Roman Egypt. As an anonymous hexameter miscellany, it represents a fragment of the broader, less-canonical poetic tradition circulating in antiquity. Its preservation underscores the diversity of hexameter composition beyond the major epic cycles and contributes valuable evidence to the fields of papyrology and the transmission of minor Greek poetry.

Text
----

book 989.1	νεασοι̣....δις̣ ἔπος δ’ ἐφώνησεν τόδε· σὸ̣ν τὸ κράτος, βασιλεῦ· σὺν τὸ κράτος, ἱέραξ.[ln_5]Ἥλιε, θοαῖς ἵπποισιν ἠλίσσων
book 989.2	φλόγα Ἥλιε, θοαῖς ἵπποισιν ἠλίσσων
book 989.3	φλόγα.
book 990.1	ὕ]μνον Δ̣ή̣μη[τρ]ος
book 990.2	πολυωνύμου ἄρχ̣ο̣μαι ιστ.[ | ⸏ .]κ̣λαπ̣ακούσ̣α̣τ̣ε, δεῦτε, μέ̣λ̣ισσαι καὶ τὸν ἐν ἀθανάτοισ〈ι〉 θεοῖς μέσατόμ| ποτ’ ἔθεντο ⸏ κλῆρον, τίς τίνα χῶρον ἀ̣ν̣άξ̣ει·[ln_5]πρώτωι δ’ ἦλθε λαχεῖν πόντον βαθὺν ἁλ|μυροδίνη ⸏ χερσὶ τρίαιναν ἔχοντα
book 990.3	Ποσειδᾶν̣. Ζεὺ〈σ〉 δ’ ἔλαχεν Κρονίδης μέγαν οὐρα̣νὸν ἀς|τερόεντα ⸏ ἀενίαν ἵν’ ἔχῃ βασιλείαν. Ἀγεσίλας δ’ ἔλαχεν τὸν
book 990.4	Τα[ρταρο....]|ρ̣.ν̣ ἕ̣πεσθαι[ln_10]⸏ καὶ̣ πᾶσιν μακάρεσσι λ̣....[ κα̣ὶ̣ τό̣τ’ ἀπὸ κλήρων μὲ̣ν ἀφίκετο δ̣...|[......].τοστε........[[ln_11]— — — — —
