Hymn 7 To Dionysus
Ὕμνος εἰς Διόνυσον
by Hymnic Collection  Anonymous
eul_wid: upu-ao    eul_aid: upu

Period   Classical
Dialect  Epic (Homeric)
Domain   Poetry
Format   Verse

"Hymn 7 to Dionysus" is an ancient Greek narrative poem belonging to the collection known as the Homeric Hymns. Composed in the epic dactylic hexameter, it dates from the archaic period, likely the seventh or sixth century BCE, and is the work of an anonymous poet rather than Homer himself. The hymn recounts the dramatic episode in which the god Dionysus, son of Semele, is abducted by Tyrrhenian pirates. Mistaking his youthful and handsome appearance for that of a mortal prince, the pirates seize him and attempt to bind him with ropes aboard their ship. Their efforts prove futile as the bonds fall away, and Dionysus, smiling, begins to manifest his divine power. Miracles ensue: fragrant wine streams across the deck, a vine heavy with grapes and ivy sprout rapidly to entwine the mast and rigging, and the god himself transforms into a lion and creates a phantom bear. Stricken with terror, the impious pirates leap into the sea and are metamorphosed into dolphins. The helmsman alone, who had recognized the divine presence and pleaded for the god's release, is spared and receives the blessing of Dionysus.

The hymn, which survives complete in fifty-nine lines, exemplifies the ritual function of such compositions, which were likely performed as preludes to longer epic recitations to invoke a deity's presence and favor. It artfully illustrates the core themes of Dionysian worship, emphasizing the god's association with wine, ecstasy, metamorphosis, and the potent duality of his nature—he is a source of ecstatic blessing for his devotees but delivers terrifying punishment to those who deny his divinity. The narrative serves as a potent lesson on the necessity of recognizing the divine and the dire consequences of hubris. This particular myth enjoyed widespread popularity in antiquity and was a frequent subject in Greek vase painting. The text has been preserved through medieval manuscripts and is transmitted as an integral part of the Homeric Hymns corpus.

Text
----

1	Ἀμφὶ Διώνυσον Σεμέλης ἐρικυδέος υἱὸν
2	μνήσομαι, ὡς ἐφάνη παρὰ θῖν’ ἁλὸς ἀτρυγέτοιο
3	ἀκτῇ ἐπὶ προβλῆτι νεηνίῃ ἀνδρὶ ἐοικὼς
4	πρωθήβῃ· καλαὶ δὲ περισσείοντο ἔθειραι
5	κυάνεαι, φᾶρος δὲ περὶ στιβαροῖς ἔχεν ὤμοις
6	πορφύρεον· τάχα δ’ ἄνδρες ἐϋσσέλμου ἀπὸ νηὸς
7	ληϊσταὶ προγένοντο θοῶς ἐπὶ οἴνοπα πόντον
8	Τυρσηνοί· τοὺς δ’ ἦγε κακὸς μόρος· οἱ δὲ ἰδόντες
9	νεῦσαν ἐς ἀλλήλους, τάχα δ’ ἔκθορον, αἶψα δ’ ἑλόντες
10	εἷσαν ἐπὶ σφετέρης νηὸς κεχαρημένοι ἦτορ.
11	υἱὸν γάρ μιν ἔφαντο διοτρεφέων βασιλήων
12	εἶναι, καὶ δεσμοῖς ἔθελον δεῖν ἀργαλέοισι.
13	τὸν δ’ οὐκ ἴσχανε δεσμά, λύγοι δ’ ἀπὸ τηλός’ ἔπιπτον
14	χειρῶν ἠδὲ ποδῶν· ὁ δὲ μειδιάων ἐκάθητο
15	ὄμμασι κυανέοισι, κυβερνήτης δὲ νοήσας
16	αὐτίκα οἷς ἑτάροισιν ἐκέκλετο φώνησέν τε·
17	Δαιμόνιοι τίνα τόνδε θεὸν δεσμεύεθ’ ἑλόντες
18	καρτερόν; οὐδὲ φέρειν δύναταί μιν νηῦς εὐεργής.
19	ἢ γὰρ Ζεὺς ὅδε γ’ ἐστὶν ἢ ἀργυρότοξος Ἀπόλλων
20	ἠὲ Ποσειδάων· ἐπεὶ οὐ θνητοῖσι βροτοῖσιν
21	εἴκελος, ἀλλὰ θεοῖς οἳ Ὀλύμπια δώματ’ ἔχουσιν.
22	ἀλλ’ ἄγετ’ αὐτὸν ἀφῶμεν ἐπ’ ἠπείροιο μελαίνης
