Fragments on the Trojan War
Ἀποσπάσματα περὶ τοῦ Τρωικοῦ Πολέμου
by Ibycus of Rhegium
eul_wid: asw-aa    eul_aid: asw

Period   Archaic
Dialect  Epic (Homeric) (frg)
Domain   Poetry
Format   Verse

The Fragments on the Trojan War is a modern designation for the extant lyric poetry of Ibycus of Rhegium, a sixth-century BCE Greek poet. These surviving pieces, collected from quotations by later authors and from papyrus discoveries such as those at Oxyrhynchus, represent 105 fragments that originate from various choral songs, not a single unified poem. Ibycus composed for musical performance, typically employing the triadic structure of strophe, antistrophe, and epode. His subject matter is predominantly mythological, drawing heavily from the Trojan War cycle and other heroic legends. His distinctive style is ornate and romantic, emphasizing the beauty, passion, and erotic allure of mythological figures, an approach that sets his lyric treatment apart from epic narrative. The original scope and arrangement of his poetry books are lost, but scholars interpret his focus on Panhellenic Trojan myths as a means of connecting with broader Greek tradition for his aristocratic patrons, most notably Polycrates, the tyrant of Samos. This poetry was likely intended for performance at symposia and festivals, using familiar heroes to explore themes of love, fate, and poetic immortality. Ibycus is regarded as a significant influence on later Greek poetry for his vivid and emotional portrayal of Eros and mythological narrative.

Text
----

book 1a.1	οἳ κ]αὶ Δαρδανίδα
book 1a.2	Πριάμοιο μέ‐ γ’ ἄσ]τυ
book 1a.3	περικλεὲς ὄλβιον ἠνάρον Ἄργ]οθεν ὀρνυμένοι Ζη]νὸς μεγάλοιο βουλαῖς[ln_5]ξα]νθᾶς Ἑλένας
book 1a.4	περὶ εἴδει δῆ]ριν
book 1a.5	πολύυμνον ἔχ[ο]ντες πό]λεμον κατὰ δακρ[υό]εντα, Πέρ]γαμον δ’ ἀνέ[β]α
book 1a.6	ταλαπείριο[ν ἄ]τα χρυ]σοέθειραν δ[ι]ὰ Κύπριδα.[ln_10]νῦ]ν δέ μοι οὔτε ξειναπάταν Π[άρι]ν ..] ἐπιθύμιον οὔτε
book 1a.7	τανί[σφ]υρ[ον ὑμ]νῆν Κασσάνδραν Πρι]άμοιό τε
book 1a.8	παίδας ἄλλου[ς
book 1a.9	Τρο]ίας θ’ ὑψιπύλοιο ἁλώσι[μο]ν[ln_15]ἆμ]αρ ἀνώνυμον· οὐδεπ[ ἡρ]ώων ἀρετὰν ὑπ]εράφανον οὕς
book 1a.10	τε κοίλα[ι νᾶες] πολυγόμφοι ἐλεύσα[ν
book 1a.11	Τροί]αι κακόν, ἥρωας ἐσθ[λούς·
book 1a.1	[ln_20]τῶν] μὲν κρείων Ἀγαμέ[μνων ἆ]ρχε
