Works of Libanius
Ἔργα Λιβανίου
by Libanius of Antioch
eul_wid: swk-ah    eul_aid: swk

Period   Late Antique
Dialect  Atticizing
Domain   Oratory
Format   Oration

The surviving works of Libanius of Antioch constitute one of the most extensive and significant literary corpora from a single author in Late Antiquity. Composed in refined Attic Greek during the mid-to-late fourth century CE, the collection encompasses sixty-four orations, fifty-one declamations, a substantial body of preliminary rhetorical exercises known as progymnasmata, and over fifteen hundred letters. The orations demonstrate remarkable variety, ranging from formal panegyrics celebrating cities to autobiographical accounts, judicial speeches, and direct political appeals to imperial authorities. His extensive epistolary collection offers an unparalleled view into the intricate social, professional, and intellectual networks of the period.

Operating from Antioch, a major cultural and administrative hub of the Eastern Roman Empire, Libanius wrote as a devoted adherent of traditional Hellenic religion and a master teacher of rhetoric. His works functioned both as pedagogical models for his renowned school of rhetoric and as active engagements with the profound political and religious transformations of his era. Modern scholarship interprets his prolific output as a sustained, sophisticated defense of classical Greek paideia—the system of education and civic values—against the rising cultural and institutional dominance of Christianity. Numerous orations address contemporary events with directness, such as advocating for the interests of Antioch or expressing support for the policies of the pagan emperor Julian.

The texts survive in a notably complete state, a testament to Libanius's enduring reputation as a preeminent stylistic model throughout the Byzantine educational tradition. A complex manuscript tradition has preserved the majority of his orations and declamations. The vast corpus of letters, while immense, is generally considered a curated selection from an originally even larger body of personal and professional correspondence.

Text
----

1	*Epist. 1–839: vol. 10 Κλεάρχῳ.
Ep 1 1	Ἔμελλον γράφων δεήσεσθαί σου βοηθῆσαι τῷ χρηστῷ μέν, πένητι δὲ Φαυστίνῳ, αὐτὰ δὲ ταῦτα ἀρκέσειν ἡγούμην σοι πρὸς τὴν βοήθειαν, τόν τε τρόπον τήν τε πενίαν. Κέλσος δὲ ἐπελθὼν καὶ μαθὼν ὃ ποιήσοιμι, πάλαι μέν σε τῆς βοηθείας εἶπεν ἧφθαι, πρᾶξαι δὲ οὐδὲν ὧν ἐβούλου. ἐγὼ δὲ ἄλλου μὲν ταῦτα λέγοντος ἀνασχοίμην ἄν, ὅτι βουληθεὶς οὐκ ἠδυνήθη, Κλέαρχος δὲ μὴ μάθοι τοιαῦτα ἀπολογεῖσθαι.
Ep 1 2	δεινὸν γὰρ τοῦτό γε καὶ κατηγορία τῆς βουλῆς, εἰ μή σοι πρὸς αὐτὴν ἀρκοίη καὶ νεῦμα. Ἐλεβίκῳ.
Ep 2 1	Γράμματα μὲν ὁ χρηστὸς Φλωρεντιανὸς οὐκ ἤνεγκέ μοι παρὰ σοῦ, γράψαι δέ με πρότερον ἔπεισεν ὀμόσας ἐμὲ φιλεῖσθαι παρὰ σοῦ. καὶ ἐγὼ τῷ μὲν οὐκ ἀπιστήσας, σὲ δὲ θαυμάσας εἰ τὰ ἐπὶ τῆς ἑσπέρας ἐκείνης ῥήματα ὀλίγα φιλίας ἀρχὴν ἐποιήσω, γέγραφα τοῦ τε φιλεῖσθαι χάριν εἰδὼς καὶ γράμματα ἀπαιτῶν. εἰ δ’ αὖ καὶ κωλύῃ τῷ πλήθει τῶν πραγμάτων, ἀλλ’ ἔμοιγε μέγα καὶ τὸ φιλεῖσθαι μόνον. Κλεάρχῳ.
Ep 3 1	Ἐπὶ τὸν πολλάκις βεβοηθηκότα σὲ καὶ νῦν Ὀλύμπιος καταφεύγει σύμμαχον ἐξ ὧν ἤδη τετύχηκεν ἐλπίσας εἰς τὸ κατορθώσειν ἔχειν. τῷ αὐτῷ.
Ep 4 1	Ὀλυμπίου μὲν οὗτός ἐστι παῖς τοῦ πολλὰ μαθόντος, οἶδε δὲ καὶ αὐτὸς οὐκ ὀλίγα πρὸς τῷ καὶ στρατιώτης εἶναι. φιλίας δὲ τῆς σῆς ἐπιθυμήσας δι’ ἐμοῦ τοῦ φιλοῦντος ἄμφω τοῦθ’ αὑτῷ γενέσθαι βουληθεὶς ἔρχεται μετὰ γραμμάτων ἐμῶν, ἐν οἷς ἔχει τὰς τῆς ἐπιθυμίας ἐλπίδας. Παυλίνῳ.
Ep 5 1	Τοῦ μὴ ἀποθανεῖν με κατακλυσθέντα πλήθει κακῶν αἴτιός μοι μετὰ θεὸν Θαλάσσιος. ἡγοῦμαι οὖν καὶ σὲ χάριν ὀφείλειν αὐτῷ τῆς περὶ ἐμὲ σπουδῆς, ὀφείλων δὲ ἥδιστ’ ἂν καὶ ἀποδοίης. ἔξεστι δέ σοι μετὰ τῆς τῶν νόμων φυλακῆς ἀποδοῦναι γῆς ἧς ὑπ’ ἀνδρὸς ἐστέρηται τῶν θρασυτέρων τινὸς πάλιν αὐτὸν ποιήσαντι δεσπότην.
Ep 5 2	καλὸν δὲ τὸν ἀδικοῦντα μαθεῖν, ὡς ἔστι καὶ ἀπόντα τῶν δικαίων τυχεῖν. Θεμιστίῳ.
Ep 6 1	Ἠβουλήθη σε παρ’ ἡμῶν ὁ Λεόντιος μαθεῖν, ὡς φιλοῖτο ὑφ’ ἡμῶν. λέγω τοίνυν ὅτι καὶ φιλεῖται καὶ δικαίως χρηστός τε ὢν καὶ συνετὸς καὶ τῷ τιμᾶν οὓς προσήκει τιμᾶσθαι νομίζων. Ἀρισταινέτῳ.
Ep 7 1	Σὺ μὲν ἡμᾶς εἶπας κακῶς, ἡμεῖς δὲ καλῶς. ἀλλ’ οὔτε σοί τις οὔτ’ ἐμοὶ πείσεται. Ἰταλικιανῷ.
Ep 8 1	Ἡμεῖς καὶ ἄνθρωποι καὶ οὐδὲν τῶν γειτόνων ἀμείνους. μὴ τοίνυν ὕβριζε τὰς εἰκόνας μηδ’, ὅταν ἐπαινῇς, ἀμέλει τοῦ μέτρου μηδ’ οὐ φιλεῖσθαι νόμιζε τῷ μὴ πολλά σοι παρ’ ἡμῶν ἀφικνεῖσθαι γράμματα. τούτου μὲν γὰρ αἴτιον τὸ πολλὰ εἶναι τὰ πράγματα, φιλεῖν δὲ δύναιτ’ ἂν καὶ μὴ ἐπιστέλλων ἄνθρωπος, ἐπεὶ καὶ σὺ ὃν χρόνον οὐκ ἐπέστελλες ἐφίλεις ἡμᾶς καὶ εἰ μηδὲ ταῦτα τὰ νῦν ἐπεπόμφεις, ἐφίλεις ἂν καὶ οὕτω. καίτοι καλὰ μὲν ἔλεγες καὶ ὑπισχνοῦ τοῖς λόγοις δὲ ἔργον ἠκολούθησεν οὐδέν.
Ep 8 2	ἀλλ’ ὅμως οὐ ποιοῦμαι τοῦτο τοῦ μὴ φιλεῖσθαι σημεῖον, ἀλλ’ ἐμαυτὸν πείθω βουληθέντα σε μὴ δεδυνῆσθαι. βέλτιον γὰρ οἶμαι ταῦτα νομίζειν ἢ πανταχόθεν ζητεῖν ἐγκαλεῖν. Μαρτινιανῷ.
