On Youth and Old Age
Ἀποσπάσματα
by Mimnermus of Colophon
eul_wid: aly-aa    eul_aid: aly

Period   Archaic
Dialect  Koine
Domain   Poetry
Format   Verse

On Youth and Old Age is the conventional modern title for a collection of poetic fragments attributed to the archaic Greek poet Mimnermus of Colophon, who was active in the late seventh century BCE. The work is not a unified composition but a compilation of excerpts preserved by later authors, most notably in the fifth-century CE anthology of Stobaeus. Written in the Ionic dialect and elegiac meter, the surviving verses present a stark and poignant contrast between the vitality of youth and the infirmities of old age. A central, recurring theme is the ephemeral nature of human life, famously encapsulated in a simile comparing the brief flourishing of youth to a sunlit leaf that quickly fades. The poetry advocates for the passionate pursuit of love, beauty, and pleasure during life’s transient prime, while depicting old age as a time of physical decline, social irrelevance, and sorrow. Though the original structure and full extent of Mimnermus’s poetry are lost, his melancholic and hedonistic verses are considered a significant reflection of aristocratic symposium culture in Ionian Greece. His work helped establish a tradition of personal, reflective elegy that exerted a lasting influence on later Greek and Roman poets.

Text
----

book 1.1	τίς δὲ βίος, τί δὲ τερπνὸν ἄτερ
book 1.2	χρυσῆς Ἀφροδίτης; [para]τεθναίην, ὅτε μοι μηκέτι
book 1.3	ταῦτα μέλοι, κρυπταδίη
book 1.4	φιλότης καὶ μείλιχα δῶρα καὶ εὐνή, [para]οἷ’ ἥβης ἄνθ͜εα͜ γίνεται ἁρπαλέα[ln_5]ἀνδράσιν ἠδὲ γυναιξίν· ἐπεὶ δ’ ὀδυνηρὸν ἐπέλθηι [para]γῆρας, ὅ τ’ αἰσχρὸν ὁμῶς καὶ κακὸν ἄνδρα
book 1.5	τιθεῖ, αἰεί μιν
book 1.6	φρένας ἀμφὶ κακαὶ τείρουσι μέριμναι, [para]οὐδ’ αὐγὰς
book 1.7	προσορῶν τέρπεται ἠελίου, ἀλλ’ ἐχθρὸς μὲν
book 1.8	παισίν, ἀτίμαστος δὲ γυναιξίν·
book 1	[ln_10]οὕτως ἀργαλέον γῆρας ἔθηκε θεός.
book 2.1	ἡμεῖς δ’, οἷά τε φύλλα φύει
