Fragments on Food and Feasting
Ἀποσπάσματα περὶ Σίτου καὶ Εὐωχίας
by Nicostratus Son of Aristophanes
eul_wid: hsu-aa    eul_aid: hsu

Period   Hellenistic
Dialect  Attic Comedy
Domain   Comedy
Format   Verse

The Fragments on Food and Feasting is a modern scholarly compilation of 87 excerpts from the lost comedies of Nicostratus, an Athenian comic poet of the 4th century BCE and son of the celebrated playwright Aristophanes. These passages, originally composed in Attic Greek verse for performance at Athenian dramatic festivals, are united by their thematic focus on dining, cookery, and gluttony. They exemplify the characteristics of Middle Comedy, a genre that moved away from the direct political satire of earlier periods toward social parody, domestic scenarios, and the humorous treatment of mythological characters. The work itself is not an ancient text but an editorial assemblage; the complete plays of Nicostratus have not survived. These fragments are preserved solely through quotation by later authors, most extensively by the encyclopedist Athenaeus in his Deipnosophistae, who cited them to illustrate lexical and cultural details. Modern interpretation regards these collected fragments as significant evidence for understanding daily life, the mechanics of social satire, and the stylistic evolution of Greek comedy, with particular emphasis on themes such as culinary extravagance, the stock character of the parasite, and the rituals of Athenian conviviality.

Text
----

book 1	πίναξ ὁ πρῶτος τῶν μεγάλων ἡγήσεται, ἔχων ἐχῖνον, ὠμοτάριχον, κάππαριν, θρυμματίδα, τέμαχος, βολβὸν ἐν ὑποτρίμματι.
book 2	ταῦτ’ ἀξιῶ· εἴτ’ ὀρνιθάριον, τὸ περιστέριον, τὸ γαστρίον.
book 3	μετανιπτρίδ’ αὐτῷ τῆς ὑγιείας ἔγχεον.
book 4-5.1	Βυζάντιόν
book 4-5.2	τε τέμαχος ἐπιβακχευσάτω, Γαδειρικόν θ’ ὑπογάστριον
book 4-5.3	παρεισίτω.[ln_2]. . . . . . . . . . . . ἀλλ’ ἐπριάμην
book 4-5.4	παρ’ ἀνδρός, ὦ γῆ καὶ θεοί, ταριχοπώλου πάνυ καλοῦ τε κἀγαθοῦ[ln_5]τιλτὸν μέγιστον, ἄξιον δραχμῆς, δυοῖν ὀβολοῖν, ὃν οὐκ ἂν καταφάγοιμεν ἡμερῶν
book 4-5.5	τριῶν ἤδη κατεσθίοντες οὐ δεδωκά γε· ὑπερμέγεθες γάρ ἐστι.
book 6.1	[spk_β]τί οὖν ἀγοράζω; φράζε γάρ. Β. μὴ πολυτελῶς, ἀλλὰ καθαρείως, δασύποδα, ἐὰν
