On Human Nature and Solon's Law
Ἀποσπάσματα
by Philemon Syracusius
eul_wid: lpe-aa    eul_aid: lpe

Period   Hellenistic
Dialect  Attic Comedy
Domain   Comedy
Format   Verse

"On Human Nature and Solon's Law" is a lost comedic verse work attributed to Philemon Syracusius. Known only by its title and described as a collection of 608 passages, no substantive content or specific poetic form survives. The title suggests its thematic scope likely encompassed philosophical and social critiques, examining human nature alongside the laws and legislative legacy of the Athenian statesman Solon. The attribution to a Syracusan author hints at a potential connection to Sicilian comic traditions, positioning the work as a piece of social and ethical commentary delivered in a satirical vein. Its complete absence from standard scholarly catalogs of ancient Greek literature indicates it is entirely lost, with no documented influence on the historical record.

Text
----

book 2-3.1	ὦ πῶς
book 2-3.2	πονηρόν ἐστιν ἀνθρώπου φύσις τὸ σύνολον· οὐ γὰρ ἄν
book 2-3.3	ποτ’ ἐδεήθη νόμου.[ln_2]. . . . . . . . . . . . . οἴει
book 2-3.4	τι τῶν ἄλλων διαφέρειν θηρίων ἄνθρωπον; οὐδὲ μικρὸν ἀλλ’ ἢ σχήματι·[ln_5]πλάγι’ ἐστὶ τἄλλα, τοῦτο δ’ ὀρθὸν θηρίον.
book 4.1	σὺ δ’ εἰς ἅπαντας εὗρες ἀνθρώπους, Σόλων· σὲ γὰρ λέγουσι
book 4.2	τοῦτ’ ἰδεῖν
book 4.3	πρῶτον νόμον, δημοτικόν, ὦ Ζεῦ, πρᾶγμα καὶ σωτήριον, (καί μοι λέγειν
book 4.4	τοῦτ’ ἐστὶν ἁρμοστόν, Σόλων)[ln_5]μεστὴν ὁρῶντα τὴν πόλιν νεωτέρων, τούτους τ’ ἔχοντας τὴν ἀναγκαίαν φύσιν ἁμαρτάνοντάς τ’ εἰς ὃ μὴ προσῆκον ἦν, στῆσαι
book 4.5	πριάμενόν
book 4.6	τοι γυναῖκας κατὰ τόπους κοινὰς ἅπασι καὶ κατεσκευασμένας.
book 4.1	[ln_10]ἑστᾶσι γυμναί· μὴ ’ξαπατηθῇς· πάνθ’ ὅρα. οὐκ εὖ σεαυτοῦ τυγχάνεις ἔχων· ἔχεις . . . . πως· ἡ θύρα ’στ’ ἀνεῳγμένη. εἷς ὀβολός· εἰσπήδησον· οὐκ ἔστ’ οὐδὲ εἷς ἀκκισμὸς οὐδὲ λῆρος, οὐδ’ ὑφήρπασεν·[ln_15]ἀλλ’ εὐθύς, ὡς βούλει σὺ χὢν βούλει
book 4.2	τρόπον. ἐξῆλθες· οἰμώζειν λέγ’, ἀλλοτρία ’στί σοι.
book 5.1	οὐκ ἂν λαλῇ τις μικρόν, ἐστὶ κόσμιος, οὐδ’ ἂν
book 5.2	πορεύηταί τις εἰς τὴν γῆν βλέπων· ὁ δ’ ἡλίκον μὲν ἡ φύσις φέρει λαλῶν, μηδὲν
book 5.3	ποιῶν δ’ ἄσχημον, οὗτος κόσμιος.
book 6	ἐλαφρός
book 7.1	οἴμοι· τὸ λυπεῖσθαι γὰρ ἐπὶ τὸ ῥῆμ’ ἄγει
book 7.2	τοῦτ’ εὐθύς, ὡς ἔοικε, τὸν λυπούμενον. λυπουμένῳ δ’ ὅταν
book 7.3	τις ἀκολουθῶν λέγῃ χαῖρ’, ἐξ ἀνάγκης οὗτος οἰμώζειν λέγει.
book 8	ψωμοκόλαξ δ’ ἔσθ’ οὑτοσί.
book 9.1	πιεῖν
book 9.2	τις ἡμῖν ἐγχεάτω, καὶ ματτύην
book 9.3	ποιεῖτε θᾶττον.
book 10.1	νῦν δ’ οἶδ’ ἀκριβῶς τὴν τύχην ὡς οὐ μία, οὐδ’ ἔστι
book 10.2	πρῴην, ἀλλὰ μετὰ τῶν
book 10.3	σωμάτων ἡμῶν, ὅταν γινώμεθ’, εὐθὺς χἠ τύχη
book 10.4	προσγίνεθ’ ἡμῖν
