Grammatical Fragments
Γραμματικὰ Ἀποσπάσματα
by Philetas of Cos
eul_wid: hvm-aa    eul_aid: hvm

Period   Hellenistic
Dialect  Attic
Domain   Poetry
Format   Verse

The Grammatical Fragments is a lost didactic poem by the poet and scholar Philetas of Cos, known only through quotations preserved in later lexicographers and grammarians, most notably Athenaeus in his Deipnosophistae. Written in verse, the work represents an early Hellenistic synthesis of technical instruction and literary artistry. It survives in over one hundred short passages, cited by later authors for their lexical or explanatory content rather than as continuous text. The fragments address grammatical and philological themes, including lexicography and glossography, where rare or obscure words are explained; etymology, investigating word origins and derivations; and dialectology, noting variations in Greek dialects, including Homeric and Aeolic forms. The poem is transmitted entirely through these fragments, which were preserved for their utility in defining unusual vocabulary, a common fate for early specialized treatises. Philetas’s work was historically influential, establishing him as an early grammarian whose poetic approach to language inquiry helped shape the Alexandrian scholarly tradition. His reputation as a learned poet also made him a model for later Roman poets, contributing significantly to the ideal of the poeta doctus.

Text
----

book 1.1	Athen. XI 783 d ἄμφωξις ξύλινον
book 1.2	ποτήριον, ᾧ χρῆσθαι
book 1.3	τοὺς ἀγροίκους
book 1.4	Φιλήτας
book 1.5	φησι ἀμέλγοντας εἰς αὐτὸ καὶ οὕτως πίνοντας.
book 2.1	Athen. XI 783 a ἄωτον
book 2.2	παρὰ Κυπρίοις τὸ ἔκπωμα, ὡς Πάμ‐ φιλος, Φιλήτας δὲ ποτήριον οὖς οὐκ ἔχον.
book 3.1	Athen. XI 467 c γυάλα· Φιλήτας ἐν Ἀτάκτοις Μεγαρέας οὕτω
book 3.2	φησὶ καλεῖν τὰ ποτήρια, γυάλας.
book 4.1	Athen. XI 467 f Κυρηναῖοι δὲ τὸν
book 4.2	ποδονιπτῆρα δῖνον ὀνομά‐ ζουσιν, ὡς
book 4.3	Φιλήτας
book 4.4	φησὶν ἐν Ἀτάκτοις.
book 5.1	Athen. XI 495 e Κλείταρχος ἐν
book 5.2	ταῖς Γλώσσαις
book 5.3	πελλητῆρα μὲν καλεῖν Θεσσαλοὺς καὶ Αἰολεῖς τὸν ἀμολγέα, πέλλαν δὲ τὸ ποτήριον· Φιλήτας δ’ ἐν Ἀτάκτοις τὴν κύλικα Βοιωτούς.
book 6.1	Athen. XI 496 c προχύτης εἶδος ἐκπώματος, ὡς
book 6.2	Σιμάριστος ἐν
