Hymn to Demeter and Persephone
Ἀποσπάσματα
by Philicus of Corcyra
eul_wid: ick-aa    eul_aid: ick

Period   Hellenistic
Dialect  Literary Koine
Domain   Poetry
Format   Verse

The Hymn to Demeter and Persephone is a cult poem by the Hellenistic poet Philicus of Corcyra, composed in the early 3rd century BCE. Written in dactylic hexameter, the work comprises a series of invocations and ritual descriptions honoring the goddesses Demeter and her daughter Persephone. It is distinguished by its use of the literary Doric dialect, a deliberate stylistic choice to evoke an archaic and regionally authentic religious tone. The surviving text is not a continuous poem but a collection of 37 fragments, preserved under the title Apospasmata, or "Extracts." Its content focuses on worship, with clear references to the rites and symbols of the Eleusinian Mysteries, linking the goddesses to the cyclical themes of agricultural renewal, life, and death. Modern scholarship interprets the hymn as a sophisticated product of the Alexandrian court, where Philicus served as a priest, likely composed for a specific religious festival or cult setting. It represents a blend of traditional Greek mythological piety with the learned, allusive poetic techniques favored in Ptolemaic Alexandria. The hymn’s transmission relies entirely on a single, damaged papyrus from the 2nd century BCE, with no complete manuscript tradition, making these fragments a rare and valuable witness to the practice of Hellenistic cult poetry.

Text
----

book 676	τῇ χθονίῃ μυστικὰ Δήμητρί τε καὶ Φερσεφόνῃ καὶ Κλυμένῳ τὰ δῶρα
book 677.1	καινογράφου
book 677.2	συνθέσεως τῆς
book 677.3	Φιλίκου, γραμματικοί, δῶρα φέρω
book 677.4	πρὸς ὑμᾶς
book 678	[].χρην[
book 679	[ ]ρς.[ [ ]σανη.[ []ταιναρ.[
book 680.1	[]νδε θυγατρὸς [ []τερα
book 680.2	παισουκ[ []α κατειλισσομε[ []πουδε μετηλλα[[ln_5][]ασματα ληιστὴν .[ [] λαμπάδας
book 680.3	υληδ.[ []ωστο χιτὼν ἀμπ[ []ασαδετους.ξα.[ []τωι δὲ κόρη[ ]...[[ln_10][]α τύχην οὔτεγαμ[ []ματος εἰπεῖν ἀναλυ[ [].ην οὐρανὸν ἐνδε[ [] ἀλύουσ[α] δρ....[ []νιδαι τοιαδεπ.[[ln_15][].οδεσουκει.[ ]τ.[ []θ[..]..ημ.ι.[ [].ν[.]μοιτ.[[ln_17]——— []νυ.[ []οχανου.[[ln_20][].μμ[...]έρριπτο χύδ[ην –– []μασι θερμη δ’ ἐπέκαενα[ – []δε μύθου
