Works of Philo of Alexandria
Τὰ Φίλωνος Ἀλεξανδρέως
by Philo of Alexandria
eul_wid: lgi-an    eul_aid: lgi

Period   Hellenistic
Dialect  Philosophical Koine
Domain   Philosophy
Format   Treatise

The surviving works of Philo of Alexandria constitute a corpus of approximately fifty treatises composed in Koine Greek during the early Roman Empire, roughly between 20 BCE and 50 CE. As a Jewish philosopher from the Hellenistic center of Alexandria, Philo produced the first major synthesis of Jewish scripture with Greek philosophical traditions, most notably Middle Platonism and Stoicism. His extensive writings are primarily exegetical commentaries on the Pentateuch, systematically organized into three broad categories. The Exposition of the Law presents a sequential explanation of biblical history and the statutes of Mosaic legislation. The Allegorical Commentary offers a detailed, philosophical reading of the Book of Genesis, interpreting its narratives as symbolic representations of the soul's progress. A third group comprises historical and apologetic works, such as Embassy to Gaius, which defend the rights and character of the Jewish community in the Roman world.

Philo's primary interpretive method is allegory, through which he reads biblical characters, events, and laws as symbols for universal philosophical truths concerning ethics, psychology, and theology. A central and influential theme is his development of the concept of the Logos, or Divine Reason, which he presents as a mediating principle between a utterly transcendent God and the material creation. The intended audience for these works was likely educated, Greek-speaking Jews, for whom Philo aimed to demonstrate the profound philosophical coherence and wisdom inherent in their scriptural tradition. Ironically, his works were not preserved within mainstream Jewish tradition but by the Christian Church, whose theologians, particularly in Alexandria, found immense value in his allegorical method and his philosophical articulation of concepts like the Logos. While most treatises survive through Greek manuscript traditions, a significant portion of his output is lost or exists only in ancient translations, such as Armenian. His influence on the formation of early Christian thought, especially in the realms of theological language and scriptural interpretation, was profound and enduring.

Text
----

Gig t	ΠΕΡΙ ΓΙΓΑΝΤΩΝ „Καὶ δὴ ἐγένετο, ἡνίκα ἤρξαντο οἱ ἄνθρωποι πολλοὶ γίνεσθαι ἐπὶ τῆς γῆς, καὶ θυγατέρες ἐγεννήθησαν αὐτοῖσ“ (Gen.
Gig 1	6, 1). ἄξιον οἶμαι διαπορῆσαι, διὰ τί μετὰ τὴν Νῶε καὶ τῶν υἱῶν αὐτοῦ γένεσιν εἰς πολυανθρωπίαν ἐπιδίδωσιν ἡμῶν τὸ γένος. ἀλλ’ ἴσως οὐ χαλεπὸν ἀποδοῦναι τὴν αἰτίαν· ἀεὶ γὰρ ἐπειδὰν τὸ σπάνιον φανῇ, πάμπολυ τὸ ἐναντίον εὑρίσκεται.
