Strategicon
Στρατηγικόν
by Pseudo-Maurice the Tactician
eul_wid: vvi-aa    eul_aid: vvi

Period   Late Antique
Dialect  Technical Koine
Domain   Science
Format   Treatise

The Strategicon is a comprehensive military manual written in Koine Greek during the late 6th or early 7th century CE. Although traditionally credited to the Byzantine Emperor Maurice, modern scholars often attribute it to an anonymous author or committee writing under his authority, leading to the designation "Pseudo-Maurice." The work is a practical guide organized into twelve books containing 691 passages. It systematically covers cavalry and infantry tactics, drill, formations, logistics, and the organization of the army. A significant feature is its detailed analysis of the empire's various enemies—including Persians, Avars, Slavs, and Franks—describing their tactics and advising on tailored counter-strategies. Unlike earlier classical theorists, the Strategicon reflects the realities of its time, emphasizing the central role of heavy cavalry and combined-arms warfare.

The manual was composed during a period of intense military pressure on the Byzantine Empire, and it is thought to have been written to standardize doctrine and improve the effectiveness of commanders. The complete text survives through a relatively strong manuscript tradition, with the oldest copy dating from the 11th century. Its practical approach made it highly influential, serving as a foundational reference for later Byzantine military writings and impacting neighboring cultures through translations like the Old Slavonic version.

Text
----

pin 1 t	ΛΟΓΟΣ Αʹ. ΕΙΣΑΓΩΓΗ. ΚΕΦΑΛΑΙΑ ΤΟΥ ΠΡΩΤΟΥ ΛΟΓΟΥ Αʹ.
pin 1 1	Πῶς δεῖ γυμνάζειν τὸν καθ’ ἕνα ἄνδρα ἐν ταῖς μελέταις; Βʹ. Πῶς δεῖ ὁπλίζεσθαι τὸν καβαλλάριον καὶ ποῖα κατὰ τὸ ἀναγκαῖον εἴδη κτᾶσθαι; Γʹ. Περὶ διαφόρων ὀνομάτων τῶν τε ἀρχόντων καὶ στρατιωτῶν. Δʹ. Πῶς δεῖ τὴν τοῦ στρατοῦ διανομὴν γίνεσθαι καὶ τῶν ἀρχόντων αὐτοῦ; Εʹ. Πῶς δεῖ τοὺς τῶν ταγμάτων ἄρχοντας τὴν ἐπιλογὴν τῶν γενναίων καὶ χρησίμων ἐν μάχῃ ποιεῖσθαι καὶ τὰ κοντουβέρνια τοῦ τάγματος καθιστᾶν; ϛʹ. Ποῖα μανδάτα περὶ καθοσιώσεως δεῖ τοῖς στρατιώταις δοθῆναι; Ζʹ. Ποῖα μανδάτα περὶ καθοσιώσεως δεῖ τοῖς τῶν ταγμάτων ἄρχουσι δοθῆναι; Ηʹ. Περὶ ἐπιτιμίων στρατιωτικῶν. Θʹ. Πῶς δεῖ εὐτάκτως τὸν στρατὸν ὁδοιπορεῖν ἐν τῇ ἰδίᾳ χώρᾳ πολεμίων μὴ ἐνοχλούντων; ΛΟΓΟΣ Βʹ.
pin 2 t	ΠΕΡΙ ΚΑΒΑΛΛΑΡΙΚΗΣ ΠΑΡΑΤΑΞΕΩΣ ΚΕΦΑΛΑΙΑ ΤΟΥ ΔΕΥΤΕΡΟΥ ΛΟΓΟΥ Αʹ.
pin 2 1	Περὶ τοῦ χρειώδη καὶ ἀναγκαῖαν εἶναι τὴν εἰς πρώτην καὶ δευτέραν τάξιν τοῦ στρατοῦ διαίρεσιν. Βʹ. Περὶ διανομῆς τῶν ἐν παρατάξει ταγμάτων. Γʹ. Περὶ κουρσόρων καὶ δηφενσόρων. Δʹ. Περὶ πλαγιοφυλάκων καὶ ὑπερκεραστῶν καὶ περὶ ἐνεδρῶν κατὰ τοῦ νώτου ἤτοι τῶν πλαγίων τῆς τῶν ἐχθρῶν παρατάξεως. Εʹ. Περὶ βάθους. ϛʹ. Περὶ κοντουβερνίων. Ζʹ. Περὶ ὁπλίσεως. Ηʹ. Περὶ δηποτάτων. Θʹ. Περὶ φλαμούλων. Ιʹ. Περὶ κατασκόπων ἤτοι σκουλκατόρων. ΙΑʹ. Περὶ μηνσόρων καὶ ἀντικενσόρων. ΙΒʹ. Περὶ διαστημάτων μερῶν τε καὶ παρατάξεων. ΙΓʹ. Περὶ μέτρου καὶ διαφορᾶς βάνδων. ΙΔʹ. Περὶ φυλακῆς βάνδων. ΙΕʹ. Περὶ στάσεως ἀρχόντων. Ιϛʹ. Περὶ βουκίνων. ΙΖʹ. Περὶ τῆς φωνῆς τῆς ἐν τῇ συμβολῇ ποτε λεγομένης. ΙΗʹ. Περὶ καντατόρων. ΙΘʹ. Περὶ διπλῶν βάνδων. ΛΟΓΟΣ Γʹ.
pin 3 t	ΠΕΡΙ ΣΤΑΣΕΩΣ ΤΑΓΜΑΤΟΣ ΚΕΦΑΛΑΙΑ ΤΟΥ ΤΡΙΤΟΥ ΛΟΓΟΥ Αʹ.
pin 3 1	Γνῶσις σημείων δηλούντων τινὶ τοῦ τάγματος στάσιν. Βʹ. Στάσις τάγματος ὡς ἐν ὑποθέσει ἀνδρῶν τριακοσίων δέκα. Γʹ. Σχῆμα τοῦ αὐτοῦ τάγματος, ὅταν κατὰ πλευρὰν ἡ σφίγξις γίνεται. Δʹ. Σχῆμα τοῦ αὐτοῦ τάγματος, ὅταν κατὰ πλευρὰν καὶ οὐρὰν ἡ σφίγξις γίνεται. Εʹ. Περὶ γυμνασίας τάγματος. Πῶς δεῖ γυμνάζειν αὐτό; ϛʹ. Στάσις μέρους καὶ γνῶσις σημείων δηλούντων τὴν στάσιν τοῦ μέρους καὶ τῶν ἐν αὐτῷ. Ζʹ. Γνῶσις σημείων δηλούντων τὴν στάσιν τῆς πρώτης καὶ δευτέρας τάξεως. Ηʹ. Πῶς δεῖ τάσσεσθαι τὴν πᾶσαν παράταξιν, ἐὰν ἀνάγκη γένηται καὶ τὸν τοῦλδον συντάσσεσθαι αὐτῇ; Θʹ. Μέρος ἕν. Ιʹ. Στάσις συμμέτρου στρατοῦ. ΙΑʹ. Περὶ μανδάτων καθολικῶν. ΙΒʹ. Περὶ μανδάτων τοῖς τῆς πρώτης τάξεως διδομένων. ΙΓʹ. Περὶ μανδάτων τοῖς πλαγιοφύλαξι διδομένων. ΙΔʹ. Περὶ μανδάτων τοῖς ὑπερκερασταῖς διδομένων. ΙΕʹ. Περὶ μανδάτων τῇ δευτέρᾳ τάξει διδομένων. Ιϛʹ. Περὶ μανδάτων διδομένων τοῖς εἰς ἐνέδραν ἐπερχομένοις. ΛΟΓΟΣ Δʹ.
pin 4 t	ΠΕΡΙ ΕΝΕΔΡΑΣ ΚΕΦΑΛΑΙΑ ΤΟΥ ΤΕΤΑΡΤΟΥ ΛΟΓΟΥ Αʹ.
pin 4 1	Περὶ ἐνέδρας καὶ ἀπάτης κατ’ ἐχθρῶν δυνατωτέρων. Βʹ. Περὶ Σκυθικῆς ἐνέδρας. Γʹ. Περὶ τῆς ἑκατέρωθεν ἐνέδρας. Δʹ. Περὶ τοῦ καιροῦ τῆς ἐνέδρας. Εʹ. Περὶ τοῦ δρουγγιστὶ τάσσεσθαι τοὺς εἰς ἐνέδραν καὶ ἐφόδους πεμπομένους. ΛΟΓΟΣ Εʹ.
pin 5 t	ΠΕΡΙ ΤΟΥΛΔΟΥ ΚΕΦΑΛΑΙΑ ΤΟΥ ΠΕΜΠΤΟΥ ΛΟΓΟΥ Αʹ.
pin 5 1	Περὶ τοῦ μὴ ἐπάγεσθαι προχείρως τοῦλδον ἐν μάχῃ. Βʹ. Περὶ ἀδεστράτων. Γʹ. Περὶ τοῦ μὴ ἀναγκαίου τούλδου. Δʹ. Περὶ τῶν ἐμμέσῳ ἀπλήκτων. Εʹ. Περὶ φυλακῆς τούλδου ὁδοιποροῦντος. ΛΟΓΟΣ ϛʹ.
pin 6 t	ΠΕΡΙ ΔΙΑΦΟΡΟΥ ΤΑΞΕΩΣ ΚΑΙ ΓΥΜΝΑΣΙΑΣ ΚΕΦΑΛΑΙΑ ΤΟΥ ΕΚΤΟΥ ΛΟΓΟΥ Αʹ.
