Mime Fragments of Daily Life
Ἀποσπάσματα περὶ Βίου Καθημερινοῦ
by Sophron of Syracuse
eul_wid: dru-aa    eul_aid: dru

Period   Classical
Dialect  Doric (frg)
Domain   Drama
Format   Verse

The Mime Fragments of Daily Life is a modern designation for the surviving works of Sophron of Syracuse, a fifth-century BCE author. Sophron composed short, realistic dramatic sketches known as mimes, written in rhythmic Doric Greek prose. He categorized his output into two distinct types: "male" mimes, depicting scenes from the daily lives of men, and "female" mimes, focusing on the experiences of women. The extant corpus consists of 163 fragments, which are not remnants of a single book but rather scattered pieces of these various sketches, preserved solely through quotations by later authors. These fragments are celebrated for their vivid, naturalistic portrayal of ordinary Sicilian people, capturing their humor, conversations, and social manners with remarkable immediacy.

Active in Syracuse during a period of significant cultural growth, Sophron intended his mimes for reading or recitation. They provided entertainment through sharp observation of everyday society rather than through complex plots. Modern scholarship interprets these works as a major innovation in literary realism, notable for their focus on character and familiar domestic scenes. Their influence was substantial despite their fragmentary survival. The philosopher Plato is reported to have admired them, and the Hellenistic poet Theocritus directly adapted their style and subject matter into his own pastoral poetry, thereby securing Sophron's lasting legacy within that literary tradition.

Text
----

book 1.1	φωρτάτους ἀεὶ καπήλους
book 1.2	παρέχεται.
book 2*	ἄκουε νῦν καὶ ἐμεῦ, Ῥόγκα.
book 3.1	ὑποκατώρυκται δὲ ἐν κυαθίδι
book 3.2	τρικτὺς ἀλεξιφαρμάκων.
book 5	πεῖ γὰρ ἁ ἄσφαλτος; πῦς, Θεστυλί, σκοπῆι τύ;
book 6*.1	κύων
book 6*.2	πρὸ μεγαρέων μέγα ὑλακτέων.
book 10*	φέρ’ ὦ τὸν δρίφον.
book 11.1	κἤπειτα λαβὼν
book 11.2	προῆχε, τοὶ δ’ ἐβάλλιζον.
book 12.1	βαλλίζοντες τὸν θάλαμον
book 12.2	σκάτους ἐνέπλησαν.
book 14.1	συμβουλεύω γ’ ἐμφαγεῖν· ἄρτον γάρ
book 14.2	τις
book 14.3	τυρῶντα
book 14.4	τοῖς
book 14.5	παιδίοις ἴαλε.
book 15.1	πάρφερε, Κοικόα, τὸν
book 15.2	σκύφον μεστόν.
book 16.1	τάλαινα Κοικόα, κατὰ χειρὸς δοῦσα ἀπόδος τάχ’ ἁμὶν τὰν
book 16.2	τράπεζαν.
book 18*	πίμπλη δέ, Κοικόα.
book 19*.1	αἰ δὲ μὴ ἐγὼν ἔμασσον
book 19*.2	ταῖς αὐταυτᾶς
book 19*.3	χερσίν.
book 20.1	ἔτι μεθὲν ἁ καρδία
book 20.2	παδῆι.
book 21	ἃ δ’ ἄρ’ ἁμὲ ἐλωβῆτο.
book 22*	ἦ ῥα καλὼς ἀποκαθάρασα ἐξελεπύρωσεν.
book 23*	αὐτῶ ὁρῆις, Φύσκα.
book 24.1	[spk_—]τίνες δ’ ἐντί ποκα, φίλα, τοίδε
book 24.2	τοὶ μακρογόγγυλοι; — σωλῆνές θην
book 24.3	τοῦτοί γα, γλυκύκρεον κογχύλιον, χηρᾶν γυναικῶν λίχνευμα.
book 25	αἵ γα μὰν κόγχαι, ὥσπερ αἰκ ἐξ ἑνὸς κελεύματος κεχάναντι ἁμῖν πᾶσαι, τὸ δὲ κρῆς ἑκάστας ἐξέχει.
book 26	ἴδε καλᾶν κουρίδων, ἴδε καμμάρων, ἴδε φίλα· θᾶσαι μὰν ὡς ἐρυθραί τ’ ἐντὶ καὶ λειοτριχιῶσαι.
book 27.1	δεῖπνον
book 27.2	ταῖς θείαις κριβανίτας καὶ ὁμώρους καὶ ἡμιάρτιον Ἑκάται.
book 28*.1	τίς
book 28*.2	σταιτίτας ἢ κλιβανίτας ἢ ἡμιάρτια πέσσει;
book 29.1	εἰς νύκτα με αἰτιᾶι σὺν ἄρτωι
book 29.2	πλακίται.
book 30	τῶν δὲ χαλκωμάτων καὶ τῶν ἀργυρωμάτων ἐγάργαιρεν ἁ οἰκία.
book 32.1	θᾶσαι ὅσα φύλλα καὶ κάρφεα
book 32.2	τοὶ παῖδες
book 32.3	τοὺς ἄνδρας βαλλίζοντι· οἷόνπερ
book 32.4	φαντί, φίλα, τοὺς
book 32.5	Τρῶας τὸν Αἴαντα τῶι
book 32.6	παλῶι.
book 33.1	πρὶν αὐτὰν τὰν νόσον εἰς τὸν μυελὸν
book 33.2	σκιρωθῆναι.
book 34	ὑγιώτερον κολοκύντας.
book 35.1	τατωμένα
book 35.2	τοῦ κιτῶνος, ὁ τόκος νιν ἁλιφθερώκει.
book 36*	ἅμα τέκνων θην δευμένα.
book 37	ὁ μισθὸς δεκάλιτρον.
book 39*	ἃ δ’ ἀμφ’ ἄλητα κυπτάζει.
book 41.1	ἐνθάδε κυπτάζοντι
book 41.2	πλεῖσται γυναῖκες.
book 42	ἐξ Ἑστίας ἀρχόμενος καλέω Δία πάντων ἀρχαγέταν.
book 46.1	ἁ δὲ γαστὴρ ὑμέων καρχαρίας ὅκκα
book 46.2	τινὸς δῆσθε.
book 48	ἐγκίκρα, ὡς εἴω.
book 49	λοξῶν τὰς λογάδας.
book 50	τρίγλας μὲν γένηον, τριγόλα δ’ ὀπισθίδια.
book 52*.1	ἐνθάδε ὦν κἠγὼ παρ’ ὑμὲ τοὺς ὄτριχας ἐξορμίζομαι
book 52*.2	πλόον δοκά‐ ζων· ποντίναι γὰρ ἤδη
book 52*.3	τοῖς
book 52*.4	ταλικοῖσδε
book 52*.5	ταὶ ἄγκυραι.
book 53*.1	κνυζοῦμαι δὲ οὐδὲν ἰσχύων· ἁ δὲ ξυσμὰ ἐκ
book 53*.2	ποδὸς εἰς κεφαλὰν ἱππάζεται.
book 54*.1	τὸ γὰρ ἀπεχθόμενον γῆρας ἁμὲ μαραῖνον
book 54*.2	ταριχεύει.
book 55	[spk_—]... τί μὰν ξύσιλος; — τί γάρ; σῦφαρ ἀντ’ ἀνδρός.
book 56.1	καθαιρημένος θην καὶ τῆνος ὑπὸ τῶι
book 56.2	χρόνωι
book 57.1	ὦ οὗτος, ἦ οἰῆι
book 57.2	στρατείαν ἐσσεῖσθαι;
book 58.1	οὐχ ὁ δεῖν
book 58.2	τυ ἐπικαζε.
book 59*.1	Ἡρακλῆς
book 59*.2	τεοῦς κάρρων ἦς.
book 60*	ὑμὲς δὲ ἐπεγγυάμενοι θωκεῖτε.
book 61.1	ἐμὲ δ’ Ἀρχωνίδας ἴαλλε
book 61.2	παρ’ ὑμέ.
book 62*.1	λιχνοτέρα τᾶν
book 62*.2	πορφυρᾶν.
book 63	καταπυγοτέραν τ’ ἀλφηστᾶν.
book 64	κέστραι βότιν κάπτουσαι.
book 66	τριγόλαι ὀμφαλοτόμωι.
book 67	τριγόλαν τὸν εὐδιαῖον.
book 68*.1	Ἠπιόλης ὁ τὸν
book 68*.2	πατέρα
book 68*.3	πνίγων.
book 70*.1	Ἡρακλῆς Ἠπιάλητα
book 70*.2	πνίγων.
book 72	σῶσαι δ’ οὐδὲ τὰς δύο λίτρας δύναμαι.
book 73*	Ἡράκλεις, πνίγεις γύλιον τύ.
book 74*	μωρότερος εἶ Μορύχου, ὃς τἄνδον ἀφεὶς ἔξω τᾶς οἰκίας κάθηται.
book 75	πῦς ἐς μυχὸν καταδύηι;
book 81	ἐγὼν δέ τυ καὶ πάλαι ὤψεον.
book 82.1	τί τυ ἐγὼν
book 82.2	ποιέω;
book 83.1	ἐκπεφάναντί τεος
book 83.2	ταὶ δυσθαλίαι.
book 84.1	οὐχ ἥσσων
book 84.2	τεοῦ.
book 85	τουτῶ θάμεθα.
book 86	μόνον ἐμίνγα τὸ τοῦ γόγγρου τέμαχος.
book 87	οὐκέτι οἱ δωσῶ.
book 88	τί οὐ παρ’ ἔμ’ ἐστράφθη;
book 89	ὑμέων γὰρ ἀπρὶξ ἔχονται.
book 90.1	ὃ δ’ ἐκ τῶ σκότεος
book 90.2	τοξεύων αἰὲν ἕνα
book 90.3	τινὰ ὧν ζυγαστροφεῖ.
book 91	ὅσα κα ὗμιν αἰνέσω.
book 92.1	οὐ μάν
book 92.2	τοι δίφρον ἐπημμένον ὑμίν.
book 94.1	πῶς
book 94.2	ψε καὶ γινώσκομες;
book 95	τίς μοι τὰ λᾶια ἐκτίλλει;
book 96*	οὐδ’ ὅπως ἄριστα.
book 97*.1	ταυτᾶι
book 97*.2	ταὶ θύραι, μᾶτερ.
book 98*.1	εἷ τὰ τῶν
book 98*.2	χοιραγχᾶν.
book 99	ὕδωρ ἄκρατον εἰς τὰν κύλικα.
book 100	στρουθωτὰ ἑλίγματα ἐντετμαμένα.
book 101.1	μελαινίδες γάρ
book 101.2	τοι νισοῦντι ἐμὶν ἐκ
book 101.3	τοῦ μικροῦ λιμένος.
book 104	βόες δὲ λαρινεύονται.
book 105	κατάστρεψον, τέκνον, τὰν ἡμίναν.
book 106	κἠκρατηρίχημες
book 110.1	ἐκ
book 110.2	τοῦ ὄνυχος γὰρ τὸν λέοντα ἔγραψεν. τορύναν ἔξεσεν. κύμινον ἔπρισεν.
