Fragments on Women and Justice
Ἀποσπάσματα περὶ Γυναικῶν καὶ Δικαιοσύνης
by Theodectes of Phaselis
eul_wid: fjg-aa    eul_aid: fjg

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The Fragments on Women and Justice is a modern compilation of fifty-nine surviving passages from the lost tragedies of Theodectes of Phaselis, a fourth-century BCE Greek dramatist and rhetorician. A pupil of both Plato and Isocrates, Theodectes enjoyed considerable renown in antiquity, though his works survive only in these excerpts, preserved by later authors such as Aristotle and the anthologist Stobaeus. The collection’s thematic title is an editorial construct, grouping fragments that prominently feature ethical quandaries, forensic argumentation, and the portrayal of women within mythological narratives. Written in Attic Greek verse, the fragments consist of dialogue and choral lyrics, indicating Theodectes’s skill in integrating sophisticated rhetorical debate into traditional tragic plots; some of his plays are known to have included invented trial scenes. These remnants are significant to scholars as evidence of the influence of contemporary philosophy and legal culture on fourth-century Athenian tragedy. Originally composed for performance at public theatrical festivals, Theodectes’s works were later studied primarily for their rhetorical artistry. Their survival is due entirely to indirect transmission, having been quoted over centuries for their sententious, argumentative, or linguistic merit long after the complete plays had vanished.

Text
----

book 1a.1	[spk_αλφ. ?]〈ΑΛΦ. ?〉 σαφὴς μὲν ἐν βροτοῖσιν ὑμνεῖται λόγος ὡς οὐδέν ἐστιν ἀθλιώτερον
book 1a.2	φυτόν γυναικός
book 2.1	[spk_αλφ]ΑΛΦ. μητέρα δὲ τὴν σὴν οὔτις ἐστύγει βροτῶν; ΑΛΚ. – ἀλλὰ διαλαβόντα
book 2.2	χρὴ σκοπεῖν. ΑΛΦ. πῶς ...; ΑΛΚ. τὴν μὲν θανεῖν ἔκριναν, ἐμὲ δὲ μὴ κτανεῖν.
book 3.1	[ln_1][spk_ελενη]ΕΛΕΝΗ· θείων δ’ ἀπ’ ἀμφοῖν ἔκγονον ῥιζωμάτων τίς ἂν
book 3.2	προσειπεῖν ἀξιώσειεν λάτριν;
book 4.1	[ln_staging](γρῖφος
book 4.2	περὶ τῆς νυκτὸς καὶ τῆς ἡμέρας)[ln_1]εἰσὶ κασίγνηται δισσαί, ὧν ἡ μία τίκτει τὴν ἑτέραν, αὐτὴ δὲ τεκοῦς’ ὑπὸ τῆσδε
book 4.3	τεκνοῦται
book 5.1	[ln_1]δίκαιόν ἐστιν, ἥτις ἂν κτείνῃ πόσιν, 〈ταύτην θανεῖν, υἱόν
book 5.2	τε τιμωρεῖν
book 5.3	πατρί〉
book 5b.1	[ln_1]κόψατε τὴν ἐμὴν
book 5b.2	χεῖρα 〈––?〉
book 6.1	[spk_αγροικος
book 6.2	τις]ΑΓΡΟΙΚΟΣ ΤΙΣ·[ln_1]γραφῆς ὁ πρῶτος ἦν μαλακόφθαλμος κύκλος· ἔπειτα δισσοὶ κανόνες ἰσόμετροι πάνυ, τούτους δὲ πλάγιος διαμέτρου
book 6.3	συνδεῖ κανών, τρίτον δ’ ἑλικτῷ βοστρύχῳ προσεμφερές.[ln_5]ἔπειτα
book 6.4	τριόδους
book 6.5	πλάγιος ὣς ἐφαίνετο, πέμπται δ’ ἄνωθεν ἰσόμετροι ῥάβδοι δύο, αὗται δὲ συντείνουσιν εἰς βάσιν μίαν· ἕκτον δ’ ὅπερ καὶ πρόσθεν εἶφ’, ὁ βόστρυχος
book 7.1	ἀπὸ τῶν θεῶν ἀρχὴν δὲ ποιεῖσθαι
book 7.2	πρέπον
book 8.1	ὅστις δὲ θνητῶν μέμφεται τὰ θεῖ’, ὅτι οὐκ εὐθὺς ἀλλὰ τῷ χρόνῳ μετέρχεται
book 8.2	τοὺς μὴ δικαίους, πρόφασιν εἰσακουσάτω· εἰ μὲν γὰρ αὐτίκ’ ἦσαν αἱ τιμωρίαι,[ln_5]πολλοὶ διὰ φόβον κοὐ δι’ εὐσεβῆ τρόπον θεοὺς ἂν ηὖξον· νῦν δὲ τῆς
book 8.3	τιμωρίας ἄπωθεν οὔσης τῇ φύσει
book 8.4	χρῶνται βροτοί· ὅταν δὲ φωραθῶσιν ὀφθέντες κακοί, τίνουσι
book 8.5	ποινὰς ὑστέροισιν ἐν
book 8.6	χρόνοις
book 9.1	ἀλλ’ ὦ τάλαν Θυέστα, καρτέρει δάκνων ὀργῆς
book 9.2	χαλινόν· παρακελεύομαι δέ σοι
book 9.3	τεθηγμένῳ νῦν· ἀλλ’ ὁ μυρίος
book 9.4	χρόνος τὰ πάντ’ ἀμαυροῖ χὐπὸ χεῖρα λαμβάνει
book 10.1	ὦ καλλιφεγγῆ λαμπάδ’ εἱλίσσων
book 10.2	φλογός Ἥλιε, ποθεινὸν πᾶσιν ἀνθρώποις σέλας, εἶδές
book 10.3	τιν’ ἄλλον πώποτ’ εἰς οὕτω μέγαν ἐλθόντ’ ἀγῶνα καὶ δυσέκφευκτον κρίσιν;[ln_5]ὅπου κατηγορεῖ μὲν ἐν λόγοισί μου γυνή, πρὸς ὃν δ’ εἴρηκε, τυγχάνει πόσις, κρατοῦσι δ’ οἵπερ καὶ κατηγοροῦσί μου
book 11.1	πολλὰ δεῖ μοχθεῖν τὸν ἥξοντ’ εἰς ἔπαινον εὐκλεῶς· ῥᾳθυμία δὲ τὴν
book 11.2	παραυτίχ’ ἡδονήν λαβοῦσα λύπας τῷ χρόνῳ τίκτειν
book 11.3	φιλεῖ
book 12.1	ἅπαντ’ ἐν ἀνθρώποισι γηράσκειν ἔφυ καὶ πρὸς
book 12.2	τελευτὴν ἔρχεται
book 12.3	τα〈κ〉τοῦ χρόνου, πλὴν ὡς ἔοικε τῆς ἀναιδείας μόνον· αὕτη δ’ ὅσῳπερ αὔξεται θνητῶν γένος,[ln_5]τοσῷδε μείζων γίγνεται καθ’ ἡμέραν
book 13.1	ὅταν γὰρ ἄλοχον εἰς δόμους ἄγῃ πόσις, οὐχ ὡς δοκεῖ γυναῖκα λαμβάνει μόνον, ὁμοῦ δὲ τῇδ’ ἔτ’ εἰσκομίζεται λαβών καὶ δαίμον’ ἤτοι
book 13.2	χρηστὸν ἢ τοὐναντίον
book 14	γονέων τὰ τέκνα σῴζουσιν αἱ συμβουλίαι
book 15.1	ἐγὼ μὲν οὔποτ’ εὐγένειαν ᾔνεσα τὴν
book 15.2	προστάταισι
book 15.3	χρωμένην ἀναξίοις
book 16	πολυσπερεῖ μέν, ὦ γέρον, καθ’ Ἑλλάδα φήμῃ πλανᾶται καὶ διέγνωσται πάλαι τὸ μὴ βεβαίους τὰς βροτῶν εἶναι τύχας
book 17.1	(ὁ ἥλιος αἴτιος) τοῦ μέλανας εἶναι καὶ οὐλότριχας
book 17.2	τοὺς Αἰθίοπας,[ln_1]οἷς ἀγχιτέρμων ἥλιος διφρηλατῶν
book 17.3	σκοτεινὸν ἄνθος ἐξέχρωσε λιγνύος εἰς σώματ’ ἀνδρῶν καὶ συνέστρεψεν κόμας μορφαῖς ἀναυξήτοισι
book 17.4	συντήξας
book 17.5	πυρός
book 18.1	(γρῖφος
book 18.2	περὶ τῆς
book 18.3	σκιᾶς)[ln_1]τίς φύσις οὔθ’ ὅσα γαῖα φέρει
book 18.4	τροφὸς οὔθ’ ὅσα πόντος οὔτε βροτοῖσιν ἔχει γυίων αὔξησιν ὁμοίαν, ἀλλ’ ἐν μὲν γενέσει
book 18.5	πρωτοσπόρῳ ἐστὶ μεγίστη, ἐν δὲ μέσαις ἀκμαῖς μικρά, γήρᾳ δὲ πρὸς αὐτῷ[ln_5]μορφῇ καὶ μεγέθει μείζων πάλιν ἐστὶν ἁπάντων;
book 19?	[].θην ὑπο []ιδ[.]μος δ[
book 20?	[ ]ης ὑπ’ ἀγκά[λαις []ιδ’ ἀποθάνω βατ[

—
Canonical:  https://eulogikon.org/grc/theodectes-of-phaselis/women-justice
License:    https://creativecommons.org/publicdomain/mark/1.0/
Cite as:    eul_wid: fjg-aa

Eulogikon publishes public-domain Greek texts in cleaned, structured, readable form and makes no copyright claim over that preparation (Public Domain Mark 1.0, https://creativecommons.org/publicdomain/mark/1.0/).
