eul_aid,eul_wid,author_display_string,author_english,author_greek,work_display_string,work_english,work_greek,period,dialect,domain,format,affiliation,passages,grc_pdf,grc_md,grc_txt
jlu,jlu-aa,abydenus-the-historian,Abydenus the Historian,Ἀβυδηνὸς ὁ ἱστορικός,abydenus-assyrian-median-history,On Assyrian and Median History,Ἀποσπάσματα,Hellenistic,Ionic (frg),History,Prose,,6,grc/abydenus-assyrian-median-history-jlu-aa.grc.pdf,grc/abydenus-assyrian-median-history-jlu-aa.grc.md,grc/abydenus-assyrian-median-history-jlu-aa.grc.txt
dha,dha-aa,achaios-of-eretria,Achaios of Eretria,Ἀχαιός ὁ Ἐρετριεύς,achaios-eretria-athletes-satyrs,Fragments on Athletes and Satyrs,Ἀποσπάσματα περὶ Ἀθλητῶν καὶ Σατύρων,Classical,"Attic (dr, frg)",Drama,Verse,,134,grc/achaios-eretria-athletes-satyrs-dha-aa.grc.pdf,grc/achaios-eretria-athletes-satyrs-dha-aa.grc.md,grc/achaios-eretria-athletes-satyrs-dha-aa.grc.txt
que,que-aa,achilles-tatius-of-alexandria,Achilles Tatius of Alexandria,Ἀχιλλεὺς ὁ Τατίος ὁ Ἀλεξανδρεύς,achilles-tatius-alexandria-adventures-of-leucippe-and-clitophon,Adventures of Leucippe and Clitophon,τὰ κατὰ Λευκίππην καὶ Κλειτοφῶντα,Roman,Koine,Fiction,Prose,Sophist,837,grc/achilles-tatius-alexandria-adventures-of-leucippe-and-clitophon-que-aa.grc.pdf,grc/achilles-tatius-alexandria-adventures-of-leucippe-and-clitophon-que-aa.grc.md,grc/achilles-tatius-alexandria-adventures-of-leucippe-and-clitophon-que-aa.grc.txt
pbo,pbo-aa,achilles-tatius-the-astronomer,Achilles Tatius the Astronomer,Ἀχιλλεὺς Τάτιος ὁ Ἀστρονόμος,achilles-tatius-excerpted-introduction,Excerpted Introduction,Ἐκλογὴ Εἰσαγωγῆς,Roman,Technical Koine,Science,Treatise,,51,grc/achilles-tatius-excerpted-introduction-pbo-aa.grc.pdf,grc/achilles-tatius-excerpted-introduction-pbo-aa.grc.md,grc/achilles-tatius-excerpted-introduction-pbo-aa.grc.txt
bls,bls-ad,acusilaus-of-argos,Acusilaus of Argos,Ἀκουσίλαος ὁ Ἀργεῖος,acusilaus-argos-cosmogony,Fragments on Cosmogony,Ἀποσπάσματα περὶ Κοσμογονίας,Archaic,Ionic (frg),History,Collection,,44,grc/acusilaus-argos-cosmogony-bls-ad.grc.pdf,grc/acusilaus-argos-cosmogony-bls-ad.grc.md,grc/acusilaus-argos-cosmogony-bls-ad.grc.txt
bls,bls-ac,acusilaus-of-argos,Acusilaus of Argos,Ἀκουσίλαος ὁ Ἀργεῖος,acusilaus-argos-rivers,Fragments on Rivers,Ἀποσπάσματα περὶ Ποταμῶν,Archaic,Ionic (frg),History,Collection,,51,grc/acusilaus-argos-rivers-bls-ac.grc.pdf,grc/acusilaus-argos-rivers-bls-ac.grc.md,grc/acusilaus-argos-rivers-bls-ac.grc.txt
bls,bls-aa,acusilaus-of-argos,Acusilaus of Argos,Ἀκουσίλαος ὁ Ἀργεῖος,acusilaus-argos-testimonies,Testimonies 1,Μαρτυρίαι Α',Archaic,Ionic (frg),History,Collection,,13,grc/acusilaus-argos-testimonies-bls-aa.grc.pdf,grc/acusilaus-argos-testimonies-bls-aa.grc.md,grc/acusilaus-argos-testimonies-bls-aa.grc.txt
bls,bls-ab,acusilaus-of-argos,Acusilaus of Argos,Ἀκουσίλαος ὁ Ἀργεῖος,acusilaus-argos-testimonies,Testimonies 2,Μαρτυρίαι Β',Archaic,Ionic (frg),History,Collection,,5,grc/acusilaus-argos-testimonies-bls-ab.grc.pdf,grc/acusilaus-argos-testimonies-bls-ab.grc.md,grc/acusilaus-argos-testimonies-bls-ab.grc.txt
ayg,ayg-aa,aegimius,Aegimius,Αἰγίμιος,aegimius-text,Aegimius,Αἰγίμιος,Archaic,Epic (Homeric) (frg),Epic,Verse,,12,grc/aegimius-text-ayg-aa.grc.pdf,grc/aegimius-text-ayg-aa.grc.md,grc/aegimius-text-ayg-aa.grc.txt
ria,ria-ad,aelian-of-praeneste,Aelian of Praeneste,Κλαύδιος Αἰλιανός,aelian-praeneste-excerpts,Excerpts,Ἀποσπασμάτια,Roman,Koine,Oratory,Oration,Sophist,233,grc/aelian-praeneste-excerpts-ria-ad.grc.pdf,grc/aelian-praeneste-excerpts-ria-ad.grc.md,grc/aelian-praeneste-excerpts-ria-ad.grc.txt
ria,ria-aa,aelian-of-praeneste,Aelian of Praeneste,Κλαύδιος Αἰλιανός,aelian-praeneste-rustic-letters,From Aelian's Rustic Letters,ἐκ τῶν Αἰλιανοῦ ἀγροικικῶν ἐπιστολῶν,Roman,Koine,Oratory,Oration,Sophist,20,grc/aelian-praeneste-rustic-letters-ria-aa.grc.pdf,grc/aelian-praeneste-rustic-letters-ria-aa.grc.md,grc/aelian-praeneste-rustic-letters-ria-aa.grc.txt
ria,ria-ab,aelian-of-praeneste,Aelian of Praeneste,Κλαύδιος Αἰλιανός,aelian-praeneste-nature-animals,On the Nature of Animals,Περὶ ζῴων ἰδιότητος,Roman,Koine,Oratory,Oration,Sophist,781,grc/aelian-praeneste-nature-animals-ria-ab.grc.pdf,grc/aelian-praeneste-nature-animals-ria-ab.grc.md,grc/aelian-praeneste-nature-animals-ria-ab.grc.txt
ria,ria-ac,aelian-of-praeneste,Aelian of Praeneste,Κλαύδιος Αἰλιανός,aelian-praeneste-varied-history,Varied History,Ποικίλη ἱστορία,Roman,Koine,Oratory,Oration,Sophist,408,grc/aelian-praeneste-varied-history-ria-ac.grc.pdf,grc/aelian-praeneste-varied-history-ria-ac.grc.md,grc/aelian-praeneste-varied-history-ria-ac.grc.txt
opg,opg-aa,aelian-the-tactician,Aelian the Tactician,Αἰλιανός ὁ Τακτικός,aelian-tactician-tactics,Tactics,Τακτικά,Roman,Technical Koine,Science,Treatise,,174,grc/aelian-tactician-tactics-opg-aa.grc.pdf,grc/aelian-tactician-tactics-opg-aa.grc.md,grc/aelian-tactician-tactics-opg-aa.grc.txt
pnc,pnc-ab,aelius-aristides-of-smyrna,Aelius Aristides of Smyrna,Πόπλιος Αἴλιος Ἀριστείδης Θεόδωρος,aelius-aristides-smyrna-christian-apologetic,Christian Apologetic Fragments,Ἀπολογητικὰ Χριστιανικὰ Ἀποσπάσματα,Roman,Attic,Theology,Treatise,Sophist,3,grc/aelius-aristides-smyrna-christian-apologetic-pnc-ab.grc.pdf,grc/aelius-aristides-smyrna-christian-apologetic-pnc-ab.grc.md,grc/aelius-aristides-smyrna-christian-apologetic-pnc-ab.grc.txt
